question,answer,chain_q,chain_a
"Are we able to claim compensation Salary in private sector if company terminate employee's service poor performance basis. and even if employee signed out agreement which states that company is not liable to make any payment if termination is based on cause i.e non performance.( Nagpur, Maharashtra )",Dear client in your case I suggest you to go through a professional lawyer and send legal notice through your lawyer.if the didn't respond you then you can file complaint before labour commissioner.,"[""IDA_17B"", ""EPF_12"", ""ESI_72"", ""ISM_12""]","[""PROC_WRONGFUL_TERMINATION"", ""PROC_RETRENCHMENT_CLAIM"", ""PROC_OVERTIME_CLAIM"", ""PROC_MATERNITY_CLAIM""]"
"Hi Sir,
I was working for a company for 5 years. Client withdrawn the work, so company had given notice for 2 months verbally, and asked us to leave. Company is paying Severance to level 1,2,and 3 employee, however not ready to pay severance to level 4 and above, as saying this is company policy to not to pay at higher level.

Need to understand, can company give verbal notice instead of written to leave the company, where there is no resignation given by employee?

Can a company discriminate among the employee based on their level in the organization, while both the level employee losing the job?

Please guide me.( Bangalore, Karnataka )","Company cannot discriminate it is againt the Act & falls under ULP,if you have completed more than 5 years your entitled to gratuity under the Act,better to contact a Professional Lawyer from the panel expert in Labour & Employment and Service matter Lawyer from this panel to take up the issue under the various Act and protect your interest quickly.","[""PGA_4"", ""PGA_7"", ""CCS_ME_3"", ""MEPS_17""]","[""ISM_32"", ""IDRA_29C"", ""gratuity"", ""BOCW_10""]"
"Six years ago, I joined in an MNC and in Appointment letter they mentioned Retention bonus of 1lac which they will pay end of second year that needed to repay if I leave before 5 years of service in that group. I departed from my previous company after receiving bonus and paid amount for not fulfilling the notice period and other outstanding payments which they asked for. They didn't  asked for retention bonus then. Unfortunately, despite my departure, the company did not issue me a service certificate. Recently, I reached out to request the service certificate, and in response, they are now asking me to repay a retention bonus mentioned in my appointment letter, which they had paid but did not recover during my relieving.( West Godavari, Andhra Pradesh )","A.Dear SirPlease approach the following authority or similar authority in a stateThe Office Commissioner of LabourSection 12 in The Industrial Disputes Act, 194712. Duties of conciliation officers.- (relevant section 12(2) of ID Act)(1) Where any industrial dispute exists or is apprehended, the conciliation officer may, or where the dispute relates to a public utility service and a notice under section 22 has been given, shall hold conciliation proceedings in the prescribed manner.(2) The conciliation officer shall, for the purpose of bringing about a settlement of the dispute, without delay, investigate the dispute and all matters affecting the merits and the right settlement thereof and may do all such things as he thinks fit for the purpose of inducing the parties to come to a fair and amicable settlement of the dispute.(3) If a settlement of the dispute or of any of the matters in dispute is arrived at in the course of the conciliation proceedings the conciliationofficer shall send a report thereof to the appropriate Government 1 or an officer authorised in this behalf by the appropriate Government] together with a memorandum of the settlement signed by the parties to the dispute.(4) If no such settlement is arrived at, the conciliation officer shall, as soon as practicable after the close of the investigation, send to the appropriate Government a full report setting forth the steps taken by him for ascertaining the facts and circumstances relating to the dispute and for bringing about a settlement thereof, together with a full statement of such facts and circumstances, and the reasons on account of which, in his opinion, a settlement could not be arrived at.(5) If, on a consideration of the report referred to in sub- section (4), the appropriate Government is satisfied that there is a case for reference to a Board, 2 Labour Court, Tribunal or National Tribunal,] it may make such reference. Where the appropriate Government does not make such a reference it shall record and communicate to the parties concerned its reasons therefor.(6) A report under this section shall be submitted within fourteen days of the commencement of the conciliation proceedings or within such shorter period as may be fixed by the appropriate Government: 3 Provided that, 4 subject to the approval of the conciliation officer,] the time for the submission of the report may be extended by such period as may be agreed upon in writing by all the parties to the dispute.]","[""MEPS_26"", ""MEPS_40"", ""MBA_10"", ""FA_79""]","[""PGA_7"", ""IDA_12"", ""IRC_43"", ""FIN_A_63""]"
"Sir i have joined tsspdcl as engineer on Dec 12 .. i was absconding since Jan 2 as I have exams on Jan 30 and Feb 1 which am preparing since 5 months . I have doubt that whether they would terminate me from job( Hyderabad, Telangana )",Dear ClientYou need to give strict reason so that they can restore yourself there. Wish you all the best!!Hope it helps.,"[""absconding"", ""GST_143"", ""CCS_ME"", ""EPF_AT_23""]","[""SEEDS_23"", ""ISM_33"", ""BDRA_22"", ""MTW_39""]"
"I was appointed as Product Manager in my current firm (as written and accepted in appointment letter) 
Probation period was of 6 months. 
Now I received a confirmation letter from company wherein my designation and job description is changed without notice. 
Is this legal?( Mumbai, Maharashtra )",I received a confirmation letter from company wherein my designation and job description is changed without notice.Is this legal?answer: It has to be checked with the company's HR and your reporting manager only if not satisfied pls file a case in the Labour Court,"[""SCST_A_19"", ""RPSR_2"", ""RPSR_3"", ""RPSR_156B""]","[""labour_court"", ""DPDP_5"", ""COMP_MA_18"", ""COMP_MA_23""]"
"from Feb 2023 to Dec 23 leaves taken 45 days, so my HR adjusted SL 5.5 and CL 5.5 days so the balance is minus 34, and after Jan 2024 i availed PL 30days, SL 6 days and CL 6 days, so my hr adjusted the last year balance minus34 from this year PL, SL and CL and i have taken 18 days leave from Jan 24 to May 24...so he is telling your leaves are exhausted so that is why we have deducted salary for 6 days. PLs advise whether it is possible or any chance to get my salary...whether it is possible to adjusting the previous year's leave balance to the current year( Chennai, Tamil Nadu )","Dear Client,Leave policy or rule varies on the applicability of an Act applicable to a particular establishment or organization. Under the Factories Act, 1948, one day of leave for every twenty days of work performed by a worker during the previous calendar year. This leave is also known as Earned Leave or Privilege leave. Casual Leave (CL) for 5-7 days in a year and sick leave for 5 to 15 days varying as per state legislation. Leave policy for employees of private companies - Earned Leave - 30 days after 12 months of continuous employment, Casual Leave(CL)- 14 days for a year., Sick leave for 5 to 15 days a year. Encashment Rules for private companies vary according to their policies and local regulations. Each company has a unique leave encashment policy. Some may have a cap on the number of years you may carry forward your remaining leave days, while others may enable you to carry over your leave balance indefinitely. Employees need to understand the rules/policies of the Company and conditions for availing leave encashment benefits before they opt for it. If it appears to you that the action of the management is discriminatory and contrary to its own policy, you can escalate your claim before the State Labour Court by filing an application under Sec.33C(2) of the Industrial Dispute Act, 1947, provided you are a workman as defined under Sec.2(s) of the said Act. If the establishment is covered under the Shops and Establishment Act, you have to file your grievance to the Chief Inspector of Shops and Establishment appointed by the State Govt for redressal of the grievance, Otherwise, you have to file a civil suit before the Civil Court seeking appropriate relief in the matter.","[""PGA_7"", ""EPF_7D"", ""ESI_55"", ""IRC_44""]","[""leave"", ""SPE_4"", ""DSEA_22"", ""MEPS_16""]"
"I have worked for theresumetask.com . They asked me for my aadhar card . I have given them my details.the condition was to fill 500 resume in 6 days but their server is not good. I was facing lots of issues. I called them many a times in a day. Then I informed them due to your server I can not work. But after 6 days they are asking me to pay 5400 plus gst. They are sending me legal threats by message. I can not find that company on Google. That company is registered in MP. And they people are from Gujarat. Even on true caller their name is fraud. What to do?( Jodhpur, Rajasthan )","Dear Sir/ Madam,Before involving yourself in such a company you should have made a thorough check. However, now you need not pay any kind of money and let them proceed with whatever legal action they want to take till then you gather all the required documents which can show your work.if you find this response useful then please rate me","[""GST"", ""RPSR_1"", ""CCS_ME"", ""IEA_142""]","[""EC_RULES_66"", ""EC_RULES_67"", ""GST_154"", ""BTC_116""]"
"I have 2 month notice period but I served 1 month and for another month paid full month salary I don't have reliving letter and mail acceptance so they were not providing my full and final settlement amount what to do now( Bangalore, Karnataka )","Dear Client,Regardless of the status of an employee, and irrespective of reasons behind the cessation of the relationship between an employer and employee, an employee deserves a relieving letter and full and final settlement of dues for the period he was in employment. An employer cannot withhold these service-linked benefits that amount to unfair labour practices. So, in the prevailing situation, if you are not holding the position of Manager/Supervisor but a workman as defined u/s.2(s) of the Industrial Dispute Act then after serving a legal notice to the Company, reach out to the office of the concerned office of the Labour Commissioner to file a complaint against the Company over alleged arbitrary and unfair labour practice and simultaneously file an application u/s.33C(2) of Industrial Disputes Act, 1947 before the concerned Labour Court claiming entire dues payable as F & F Settlement dues on resignation, Or else an employee who belongs to the manager/supervisory category, he/she has to pursue a civil suit before a Civil Court for recovery of his/her dues from the Company. Claim application before the Labour Court should be filed within one year from the date of dues become payable to an employee. In case you need any legal assistance in this regard, you may contact our legal team for the purpose.","[""MEPS_26"", ""MEPS_40"", ""PGA_7"", ""EPF_7D""]","[""labour_court"", ""Industrial Disputes Act 1947"", ""IRC_84"", ""DSEA_147""]"
"My company is threating me because I uploaded the video in the social media of there cheating with customers
After that my company seen that video. After they threating me I don't know what to do next( Gurgaon, Haryana )","Dear Client,In India, whistleblowers are protected by the Whistle Blowers Protection Act, 2014. The law provides for the protection of their identity and also has strict norms to prevent their victimization. For instance, an organization cannot initiate proceedings against a whistleblower pending a probe into allegations. The same sections have been adopted in the Companies Act, which applies to listed companies, and are a part of the Securities and Exchange Board of Indiaâs governance norms. All listed and public sector firms need to have a whistleblower policy that outlines procedures and recourses available to complainants.You will be protected under the above-mentioned act.Thank you so much, I hope this answer helped you.","[""BNS_318"", ""IPC_415"", ""CCS_ME"", ""COMP_MA_10""]","[""IRC_93"", ""FIN_A_23J"", ""ISM_32"", ""IDRA_29C""]"
"agar koi apne previous company apko terminate kar chuki hai false alegation ke sath aur wo ab abhi dusre job me kaam kar raha h aur previous company ke leads abhi bhi mere sath bussiness kar rahe h toh meri previous company legal action mail karne ke liye treathened kar rahi h( Kolkata, West Bengal )","Dear Client,Termination without notice amounts to illegal termination and is defined as an industrial dispute under Section 2A of the Industrial Dispute Act, 1947 which also violated the mandatory provision of Sec.25F and 25N of the Act that prescribed certain conditions to comply with by the employer before termination/retrenchment of a workman/employee from the employment. In that scenario, the terminated employee/workman can raise an industrial dispute directly before the Industrial Tribunal/Labor Court concerned for adjudication within three years from the date of termination/retrenchment. So, in the prevailing situation, if you are not holding the position of Manager/Supervisor but a workman as defined u/s.2(s) of the Industrial Dispute Act then after serving a legal notice to the Company, you should raise an Industrial dispute directly before the State Govt. Industrial Tribunal under Sec.2A of the I D Act. Otherwise, if you are holding the position of Manager/Administrative Officer in the Company, you have to file a civil suit before the Civil Court seeking appropriate relief in the matter.","[""IDA_2A"", ""ESI_73"", ""IDA_25F"", ""IDA_25H""]","[""IRC_44"", ""IDA_2A"", ""IRC_46"", ""DSEA_147""]"
"Hi! I am a student and I interned at a certain startup for 1 month in the month of January for stipend of 12k Rs. After completion of internship the company told me that they will be paying me the amount in some time. They kept extending the date every week.

In March they told me I'd receive it by the end of the month however it didn't happen. Now yesterday the employer told me that "" I cannot pay you the stipend because it's personal "".

He says that I have been bothering his team. The thing is this manager never responded to my mails. So I used to message my mentor in the company to contact him. He says that I shouldn't have contacted them & won't be paying me. In the last 2 months I have only messaged him 5 times with only asking when will I receive the payment & he never responded to the mails so I contacted my mentor to tell him to kindly read my mails. All including only 5 messages to the HR & 5 messages to the mentor. He says that I have been contacting them everyday & bothering them.

I have the offer letter all the chats regarding the work I have done & also the chat of the manager saying I will be receiving the amount shortly.

The manager also called me today & talked to me rudely saying I can do whatever I want but he won't be paying me & also used abusive language. Unfortunately he called me via whats app so I couldn't record it. But I have all the proof of him denying to pay & offer letter.

I did some research & found some legal processes. To send him a legal letter & if he doesn't responds to file a civil suit against the company. That apart I wanted to know what I should really do . Because I a student & cannot spend much time & money for the law suit. Is it a good option to go against him legally? I also fear if the matter escalates & costs me a lot. Can that happen?

Any advice will be helpful. I am from India & I interned for Frontend engineer role remotely & the startup has about 8 employees and it is saas based.( Jaipur, Rajasthan )","Dear Client,It is extremely a sad state of affairs of unpaid employment that takes place. Legally taking any action will cost you a certain amount which you will have to bear, since youâre a student. But, file a complaint with an advocate and send a notice if that prompts the company to do something about the situation. If youâre financially on a crunch, I suggest to not take action legally.","[""EC_RULES_74"", ""EC_RULES_73"", ""CCS_ME"", ""EC_RULES_68""]","[""IEA_123"", ""IDRA_15A"", ""EC_RULES_74"", ""LIM_72""]"
"Currently i was working in a central PSU,have completed 13 years of service,what they will do if i abscond from duty for 6 months,i may join after 6 months in same PSU( Khammam, Telangana )","Dear client,While taking up the employment, you might have definitely agreed to render uninterrupted services to the government. 6 months will be considered as an interruption and you will be not eligible for the same government job if you not follow the rules as agreed. But if you talk to your superiors and inform them about taking an unpaid leave or something,  they might allow you, considering the number of years you have worked.","[""ATA_19"", ""MBA_10"", ""FA_79"", ""SPE_4""]","[""EC_RULES_66"", ""EC_RULES_67"", ""EC_RULES_74"", ""leave""]"
"Hello i was asked to put down my papers by my HR and they agreed to provide me salary for the notice period but now they are unresponsive. Should I continue to follow up on emails or call them ?( Noida, Uttar Pradesh )","Dear ClientYou should follow up on the mail. If they don't respond, you can send them a legal demand notice for the same.Hope it helps","[""MEPS_26"", ""MEPS_40"", ""IDA_17B"", ""EPF_12""]","[""DPDP_5"", ""BTC_263"", ""COMP_MA_18"", ""LIM_6""]"
"2. Years ago we applied for job in Canada through agent in Chandigarh, at time they said it will take 2 months, we paid hefty amount but they keep on asking for more and more paperwork and donât show us any progress or even if they have even applied, so we made a ruckus then they showed some portal that showed my UCI AND APPLICATION NO. But we still canât believe, this January they asked for passport to get visa but still no reply, we keep on asking for tracking no. But they donât provide anything. What can we do legally( Hoshiarpur, Punjab )","Dear Client,It's advisable to file a complaint with the police regarding the individual attempting to deceive and exploit you for personal gain.","[""IEA_143"", ""IEA_142"", ""BTC_236"", ""GST_146""]","[""SOC_REG_18"", ""PROC_ESI_CLAIM"", ""PROC_MATERNITY_CLAIM"", ""PROC_PF_COMPLAINT""]"
"Chartered Accountant Partnership Firm runs with 85 employees as on date. The Firm is registered under EPFO. However, only 10 staff members are covered under EPFO and remaining 75 staff members are not provided the PF facility. I wish to know, whether such establishment can extend PF benefit only to its selected employees? Is it not mandatory to the establishment to extend PF benefit to all its employees once the threshold limit of 20 is exceeded?( Chennai, Tamil Nadu )","Dear Client,As per sub-section 3 of Sec.1 of the Employees Provident Fund amd Misc, Provision Act, 1952, every establishment employing or engaging more than 20 employees/workers are required to register their establishment under the Act and comply with the provisions of the Act. Further, as per sub-sec.5 of sec.1 of the Act, an establishment on which this Act applies shall continue to govern by this Act notwithstanding the number of persons employed therein at any time falls below 20. As per Sec.2-A of the Act, an establishment consists of different deptts or branches, all such departments or branches irrespective of its location shall be treated as parts of the same establishment where the Act applies. In the given situation, You may approach the concerned Regional PF Commissioner by filing a mass application for the coverage of the rest employees who are not enrolled yet as a member of the Scheme under the Act.","[""EPF_6"", ""EPF_AT_2"", ""CCS_ME_3"", ""CCS_ME_5""]","[""Employees Provident Fund Act 1952"", ""KSEA_17"", ""BTC_153"", ""KSEA_5A""]"
"I resigned my job and didn't serve notice period as there was nothing mentioned regarding to that in the appointment letter. Also there was no bond.
But hr is asking to serve 1 month notice period or pay a month's salary( Bangalore, Karnataka )","Dear Sir,When there are no conditions in the offer letter you are not forced to serve for one month. As there is no bond they cannot claim any amount from you.","[""MEPS_26"", ""MEPS_40"", ""IDA_17B"", ""EPF_12""]","[""forced_labour"", ""EC_RULES_66"", ""BTC_212"", ""LIM_107""]"
"Hi, I'm working with a company which has joined me with 6 months probation and 1 month notice period, my health gets degree after 2 months and then my HR call and ask to resign but when I resign over email, company didn't accept my resignation and ask to serve notice period. Pls let me know 1. what is law applicable if employee is not in position to serve notice period due to health related issues, 2. Is it possible to avoid serving notice period is you are under probation period.( East Delhi, Delhi )","Dear Client,As you are in probation period and company is having its internal policy in this regard and which is applicable to the employees, who are in probation period, then you have to serve the notice period. And secondly No Employer can force an Employee to complete the Notice period, it is for the employee to complete the Notice period in order to take his full salary and the relieving letter. You can tell them about your problem for not serving the notice period.Hope, it is helpful","[""MEPS_26"", ""MEPS_40"", ""SCST_A_19"", ""RPSR_2""]","[""notice_period"", ""relieving_letter"", ""DPDP_5"", ""probation""]"
"Hi, I'm working as an IT employee, My father works in a private company where annual income is below 6 lakhs, and my mother works as govt primary school teacher, Am I eligible to get nc-obc certificate?( Bellary, Karnataka )","Hi,In order to qualify as an OBC non-creamy layer candidate, the applicantâs parentsâ annual income should be less than Rs. 8 lakhs. If your parents are not directly recruited Class1 (Group A) or Class2 (GroupB) officers OR they do not occupy any constitutional posts (like that of President, Vice President, Governor etc) you are most likely to fall under Non-Creamy Layer OBC. If your parents are not employed by the government, their income should be within the limits by the government to be treated as Non-Creamy Layer OBC.Please rate my answerThank You","[""IDA_17B"", ""EPF_12"", ""ESI_72"", ""ISM_12""]","[""EC_RULES_66"", ""FIN_A_175"", ""FIN_A_183"", ""FIN_A_1961""]"
"I was selected for a government job in 2016 through an examination. In March 2017, the result was declared invalid after a departmental investigation. Now, I got the job in 2019 after it was proved in CAT that cancellation of the result was arbitrary by the department. Now, can I demand for compensation in the court, as the department ruined almost 3 years of service life?( Kolkata, West Bengal )","Dear Sir,That is fine. Such suits are rare in India. I appreciate such action. Please share all details so that I can draft first legal notice then suit for compensation.","[""ATA_19""]","[""SRA_24"", ""compensation"", ""DPDP_5"", ""ECA_3""]"
"Is a contract for work from home which is not physically signed, valid.( Ahmedabad, Gujarat )","Hi,Yes, it can be valid.","[""contract_labour"", ""HAMA_15"", ""GUJARAT_ELECTRICITY_1969"", ""HAMA_11""]","[""HAMA_15"", ""BTC_215"", ""HAMA_6"", ""HAMA_11""]"
"What is absconding law in India ?
Can my company abscond me if I'm not present at office for 2 days ?( Mumbai, Maharashtra )","No, nothing to worry. They cannot take any action. Approach the Labor Commissioner and take Labor Inspector with you to your office they have full powers against your management.Please give me Rank 5 if you feel my answer helped you.======================================================Section 12 in The Industrial Disputes Act, 194712. Duties of conciliation officers.-(1) Where any industrial dispute exists or is apprehended, the conciliation officer may, or where the dispute relates to a public utility service and a notice under section 22 has been given, shall hold conciliation proceedings in the prescribed manner.(2) The conciliation officer shall, for the purpose of bringing about a settlement of the dispute, without delay, investigate the dispute and all matters affecting the merits and the right settlement thereof and may do all such things as he thinks fit for the purpose of inducing the parties to come to a fair and amicable settlement of the dispute.(3) If a settlement of the dispute or of any of the matters in dispute is arrived at in the course of the conciliation proceedings the conciliation officer shall send a report thereof to the appropriate Government 1 or an officer authorised in this behalf by the appropriate Government] together with a memorandum of the settlement signed by the parties to the dispute.(4) If no such settlement is arrived at, the conciliation officer shall, as soon as practicable after the close of the investigation, send to the appropriate Government a full report setting forth the steps taken by him for ascertaining the facts and circumstances relating to the dispute and for bringing about a settlement thereof, together with a full statement of such facts and circumstances, and the reasons on account of which, in his opinion, a settlement could not be arrived at.(5) If, on a consideration of the report referred to in sub- section (4), the appropriate Government is satisfied that there is a case for reference to a Board, 2 Labour Court, Tribunal or National Tribunal,] it may make such reference. Where the appropriate Government does not make such a reference it shall record and communicate to the parties concerned its reasons therefor.(6) A report under this section shall be submitted within fourteen days of the commencement of the conciliation proceedings or within such shorter period as may be fixed by the appropriate Government: 3 Provided that, 4 subject to the approval of the conciliation officer,] the time for the submission of the report may be extended by such period as may be agreed upon in writing by all the parties to the dispute.]Employment Lawsfor Multinational Companies in Indiahttps://singhania.in/wp-content/uploads/2019/08/Employment-Law-Primer-For-Multinational-Companies-In-India-2019.pdf","[""IDA_12"", ""IRC_41"", ""IRC_42"", ""IRC_43""]","[""PGA_7"", ""IDA_12"", ""KSEA_26"", ""IRC_43""]"
