question,answer,chain_q,chain_a
"Are we able to claim compensation Salary in private sector if company terminate employee's service poor performance basis. and even if employee signed out agreement which states that company is not liable to make any payment if termination is based on cause i.e non performance.( Nagpur, Maharashtra )",1. Send a legal notice [if they do not comply then]2. You may file a suit in the civil court OR3. You may also file a complaint before the labour commissioner.ThanksShreyash Mohta,"[""IDA_17B"", ""EPF_12"", ""ESI_72"", ""ISM_12""]","[""PROC_WRONGFUL_TERMINATION"", ""PROC_RETRENCHMENT_CLAIM"", ""IRC_16"", ""PROC_MATERNITY_CLAIM""]"
"Hi Sir,
I was working for a company for 5 years. Client withdrawn the work, so company had given notice for 2 months verbally, and asked us to leave. Company is paying Severance to level 1,2,and 3 employee, however not ready to pay severance to level 4 and above, as saying this is company policy to not to pay at higher level.

Need to understand, can company give verbal notice instead of written to leave the company, where there is no resignation given by employee?

Can a company discriminate among the employee based on their level in the organization, while both the level employee losing the job?

Please guide me.( Bangalore, Karnataka )","You have a Complex issue , you can take up the issue with the company under the Act quckly, through an Expert  Lawyer from this panel to protect your employment interest","[""PGA_4"", ""PGA_7"", ""CCS_ME_3"", ""MEPS_17""]","[""GST_153"", ""ITA_43A"", ""GST_83"", ""EC_RULES_66""]"
"Six years ago, I joined in an MNC and in Appointment letter they mentioned Retention bonus of 1lac which they will pay end of second year that needed to repay if I leave before 5 years of service in that group. I departed from my previous company after receiving bonus and paid amount for not fulfilling the notice period and other outstanding payments which they asked for. They didn't  asked for retention bonus then. Unfortunately, despite my departure, the company did not issue me a service certificate. Recently, I reached out to request the service certificate, and in response, they are now asking me to repay a retention bonus mentioned in my appointment letter, which they had paid but did not recover during my relieving.( West Godavari, Andhra Pradesh )","Dear client,Review your Appointment Letter: Carefully review the terms and conditions outlined in your appointment letter regarding the retention bonus. Pay attention to any clauses or provisions related to repayment if you leave before completing a specified period of service.Employment Contract and Obligations: Consider whether you had a signed employment contract that specifically addressed the retention bonus and any repayment obligations. The terms and conditions outlined in the contract will be essential in determining your legal obligations.Company Policies and Practices: Research the company's policies and practices regarding the repayment of retention bonuses. Check if there are any specific guidelines or procedures mentioned in the company's policies that address this situation.Seek Legal Advice: Given the complexity of your situation, it is advisable to consult with an employment lawyer who can review your appointment letter, employment contract (if applicable), and any other relevant documents. They can provide you with accurate advice based on the laws and regulations in your jurisdiction and help you understand your rights and obligations.Negotiation or Settlement: Depending on the advice of your lawyer, you may consider negotiating or discussing a possible settlement with the company. It may be helpful to explain your side of the situation and present any documentation or evidence that supports your case.","[""MEPS_26"", ""MEPS_40"", ""MBA_10"", ""FA_79""]","[""SPE_5"", ""EC_RULES_66"", ""EC_RULES_67"", ""RTE_23""]"
"Sir i have joined tsspdcl as engineer on Dec 12 .. i was absconding since Jan 2 as I have exams on Jan 30 and Feb 1 which am preparing since 5 months . I have doubt that whether they would terminate me from job( Hyderabad, Telangana )",Dear ClientYou need to give strict reason so that they can restore yourself there. Wish you all the best!!Hope it helps.,"[""absconding"", ""GST_143"", ""CCS_ME"", ""EPF_AT_23""]","[""SEEDS_23"", ""ISM_33"", ""BDRA_22"", ""MTW_39""]"
"I was appointed as Product Manager in my current firm (as written and accepted in appointment letter) 
Probation period was of 6 months. 
Now I received a confirmation letter from company wherein my designation and job description is changed without notice. 
Is this legal?( Mumbai, Maharashtra )",First of all congratulations for your achievement. If the designation and description mentioned in the letter is wrong I would suggest you to approach the HR to verify the error. Let your HR know the problem and communicate that your designation and job description is X and it is printed Y. Let the concerned party know that this will harm your future growth prospect but also makes it look untruthful and I am sure they will help you out.,"[""SCST_A_19"", ""RPSR_2"", ""RPSR_3"", ""RPSR_156B""]","[""EC_RULES_66"", ""EC_RULES_67"", ""BTC_327"", ""COMM_C_3A""]"
"from Feb 2023 to Dec 23 leaves taken 45 days, so my HR adjusted SL 5.5 and CL 5.5 days so the balance is minus 34, and after Jan 2024 i availed PL 30days, SL 6 days and CL 6 days, so my hr adjusted the last year balance minus34 from this year PL, SL and CL and i have taken 18 days leave from Jan 24 to May 24...so he is telling your leaves are exhausted so that is why we have deducted salary for 6 days. PLs advise whether it is possible or any chance to get my salary...whether it is possible to adjusting the previous year's leave balance to the current year( Chennai, Tamil Nadu )","Dear client,After reviewing your leave adjustments, it seems that your HR's calculations are accurate. From February 2023 to December 2023, you took 45 days of leave, with 11 days covered by SL and CL, leaving you with a negative balance of 34 days. This deficit was carried over into 2024, where you received 30 days of PL, 6 days of SL, and 6 days of CL, making a total of 42 days. After accounting for the previous year's negative balance, you had 8 days of leave available for 2024. Since you took 18 days of leave from January to May 2024, you exceeded your leave entitlement by 10 days.HR's deduction of salary for 6 of these excess leave days aligns with the negative balance. To address this, you should check your company's leave policy to ensure that the adjustments and carry-forwards are in line with it. Discuss with HR to understand the deductions and verify if there were any errors or flexibility in the policy. If there are any mitigating circumstances or recording mistakes, request an adjustment or waiver of the deduction. However, based on the current information, it appears unlikely that you can reclaim the deducted salary unless there is an exception in the policy or an error in the calculations. Hope our prompt support in this matter would be greatly appreciated.","[""PGA_7"", ""EPF_7D"", ""ESI_55"", ""IRC_44""]","[""DSEA_22"", ""leave"", ""SPE_4"", ""EC_RULES_66""]"
"I have worked for theresumetask.com . They asked me for my aadhar card . I have given them my details.the condition was to fill 500 resume in 6 days but their server is not good. I was facing lots of issues. I called them many a times in a day. Then I informed them due to your server I can not work. But after 6 days they are asking me to pay 5400 plus gst. They are sending me legal threats by message. I can not find that company on Google. That company is registered in MP. And they people are from Gujarat. Even on true caller their name is fraud. What to do?( Jodhpur, Rajasthan )","Dear Sir/ Madam,Before involving yourself in such a company you should have made a thorough check. However, now you need not pay any kind of money and let them proceed with whatever legal action they want to take till then you gather all the required documents which can show your work.if you find this response useful then please rate me","[""GST"", ""RPSR_1"", ""CCS_ME"", ""IEA_142""]","[""EC_RULES_66"", ""EC_RULES_67"", ""GST_154"", ""BTC_116""]"
"I have 2 month notice period but I served 1 month and for another month paid full month salary I don't have reliving letter and mail acceptance so they were not providing my full and final settlement amount what to do now( Bangalore, Karnataka )","Dear Client,If you have completed one month of the two-month notice period and paid the full month's salary, but are facing issues obtaining a relieving letter and acceptance of your resignation through email, it can create complications in receiving your full and final settlement. To address this, you may consider taking the following steps. Firstly, reach out to your HR department or the concerned authority in writing, requesting your relieving letter and acknowledgment of your resignation. Clearly communicate your concerns about the pending full and final settlement and emphasize the importance of these documents for your future employment opportunities. If there is no response or cooperation, consider seeking assistance from a legal professional or labor union to intervene on your behalf. Document all communication attempts for reference. If the issue persists, you may explore legal options such as filing a complaint with the labor department or pursuing legal action for non-compliance with employment terms. Consulting with a labor lawyer will provide you with specific guidance tailored to your situation and jurisdiction, helping you navigate the process to secure your full and final settlement.","[""MEPS_26"", ""MEPS_40"", ""PGA_7"", ""EPF_7D""]","[""relieving_letter"", ""full_final_settlement"", ""EC_RULES_66"", ""EC_RULES_67""]"
"My company is threating me because I uploaded the video in the social media of there cheating with customers
After that my company seen that video. After they threating me I don't know what to do next( Gurgaon, Haryana )","Dear Sir,Yes, you cannot do such things being a sub-ordinate to your Boss. At the most you may resign the job and lodge a complaint against the company bringing out such cheating to light.","[""BNS_318"", ""IPC_415"", ""CCS_ME"", ""COMP_MA_10""]","[""BNS_318"", ""IPC_415"", ""EC_RULES_66"", ""EC_RULES_67""]"
"agar koi apne previous company apko terminate kar chuki hai false alegation ke sath aur wo ab abhi dusre job me kaam kar raha h aur previous company ke leads abhi bhi mere sath bussiness kar rahe h toh meri previous company legal action mail karne ke liye treathened kar rahi h( Kolkata, West Bengal )","Dear Client,The company cannot terminate you arbitrarily. The termination process must comply with the mandates under the Industrial Disputes Act. In this situation, if the company terminates you without any rationale, you can send a legal notice to the company and file a complaint to the State Labor Commissioner against the company for unfair labor practices. Further, if you are a workman under Section 2(s) of the Industrial Dispute Act, then you can file a suit under Section 2A of the said Act before the concerned Labor Court. Otherwise, you can file a civil suit against the company and seek appropriate remedy. If required, you can consult an advocate for advice and assistance in the matter.Hope it helps.Thank you.","[""IDA_2A"", ""ESI_73"", ""IDA_25F"", ""IDA_25H""]","[""Industrial Disputes Act 1947"", ""EC_RULES_66"", ""DSEA_147"", ""EC_RULES_67""]"
"Hi! I am a student and I interned at a certain startup for 1 month in the month of January for stipend of 12k Rs. After completion of internship the company told me that they will be paying me the amount in some time. They kept extending the date every week.

In March they told me I'd receive it by the end of the month however it didn't happen. Now yesterday the employer told me that "" I cannot pay you the stipend because it's personal "".

He says that I have been bothering his team. The thing is this manager never responded to my mails. So I used to message my mentor in the company to contact him. He says that I shouldn't have contacted them & won't be paying me. In the last 2 months I have only messaged him 5 times with only asking when will I receive the payment & he never responded to the mails so I contacted my mentor to tell him to kindly read my mails. All including only 5 messages to the HR & 5 messages to the mentor. He says that I have been contacting them everyday & bothering them.

I have the offer letter all the chats regarding the work I have done & also the chat of the manager saying I will be receiving the amount shortly.

The manager also called me today & talked to me rudely saying I can do whatever I want but he won't be paying me & also used abusive language. Unfortunately he called me via whats app so I couldn't record it. But I have all the proof of him denying to pay & offer letter.

I did some research & found some legal processes. To send him a legal letter & if he doesn't responds to file a civil suit against the company. That apart I wanted to know what I should really do . Because I a student & cannot spend much time & money for the law suit. Is it a good option to go against him legally? I also fear if the matter escalates & costs me a lot. Can that happen?

Any advice will be helpful. I am from India & I interned for Frontend engineer role remotely & the startup has about 8 employees and it is saas based.( Jaipur, Rajasthan )","Dear Client,It is extremely a sad state of affairs of unpaid employment that takes place. Legally taking any action will cost you a certain amount which you will have to bear, since youâre a student. But, file a complaint with an advocate and send a notice if that prompts the company to do something about the situation. If youâre financially on a crunch, I suggest to not take action legally.","[""EC_RULES_74"", ""EC_RULES_73"", ""CCS_ME"", ""EC_RULES_68""]","[""IEA_123"", ""IDRA_15A"", ""EC_RULES_74"", ""LIM_72""]"
"Currently i was working in a central PSU,have completed 13 years of service,what they will do if i abscond from duty for 6 months,i may join after 6 months in same PSU( Khammam, Telangana )","Dear ClientIf you are working with PSU and suddenly abscond then they will send some showcause notices to your given address and permanent address. If they do not hear back from you then they will put your employment on hold for sometime and may be suspend you, depending on the organization internal rules.Once you are back they will take you back but your seniority will be lost by those period when you were absent.There is a twist here. If you are are absent for any reason which are prohibited by the organization for example, criminal activity, second job etc. then you might be terminated when they come ot know about it.","[""ATA_19"", ""MBA_10"", ""FA_79"", ""SPE_4""]","[""EC_RULES_66"", ""EC_RULES_67"", ""IEA_143"", ""IEA_142""]"
"Hello i was asked to put down my papers by my HR and they agreed to provide me salary for the notice period but now they are unresponsive. Should I continue to follow up on emails or call them ?( Noida, Uttar Pradesh )","Hi client,Yes follow up. In case,  if they don't reply you can send a legal notice.Thanks and RegardsSimi Paul","[""MEPS_26"", ""MEPS_40"", ""IDA_17B"", ""EPF_12""]","[""DPDP_5"", ""LIM_6"", ""MHA_10"", ""EPF_AT_3""]"
"2. Years ago we applied for job in Canada through agent in Chandigarh, at time they said it will take 2 months, we paid hefty amount but they keep on asking for more and more paperwork and donât show us any progress or even if they have even applied, so we made a ruckus then they showed some portal that showed my UCI AND APPLICATION NO. But we still canât believe, this January they asked for passport to get visa but still no reply, we keep on asking for tracking no. But they donât provide anything. What can we do legally( Hoshiarpur, Punjab )","Dear Sir,Better to lodge complaint with Police as such agent wanted to enrich at your cost and fooling you.","[""IEA_143"", ""IEA_142"", ""BTC_236"", ""GST_146""]","[""EC_RULES_66"", ""BTC_283"", ""CPA_35"", ""GST_86""]"
"Chartered Accountant Partnership Firm runs with 85 employees as on date. The Firm is registered under EPFO. However, only 10 staff members are covered under EPFO and remaining 75 staff members are not provided the PF facility. I wish to know, whether such establishment can extend PF benefit only to its selected employees? Is it not mandatory to the establishment to extend PF benefit to all its employees once the threshold limit of 20 is exceeded?( Chennai, Tamil Nadu )","Dear Sir,PF benefit to be extended all the stock members who are on the rolls. You may lodge complaint with concerned authorities and also go to the High Court etc. However, it may result into your termination also. Please take wise decision.","[""EPF_6"", ""EPF_AT_2"", ""CCS_ME_3"", ""CCS_ME_5""]","[""GST_117"", ""ESI_81"", ""COMM_C_18"", ""MHA_69""]"
"I resigned my job and didn't serve notice period as there was nothing mentioned regarding to that in the appointment letter. Also there was no bond.
But hr is asking to serve 1 month notice period or pay a month's salary( Bangalore, Karnataka )","Dear Client,If it is not mentioned in your employment agreement then you can send a legal notice to your employer along with a copy of employment agreement.","[""MEPS_26"", ""MEPS_40"", ""IDA_17B"", ""EPF_12""]","[""DSEA_12"", ""MTW_21"", ""DPDP_5"", ""EC_RULES_66""]"
"Hi, I'm working with a company which has joined me with 6 months probation and 1 month notice period, my health gets degree after 2 months and then my HR call and ask to resign but when I resign over email, company didn't accept my resignation and ask to serve notice period. Pls let me know 1. what is law applicable if employee is not in position to serve notice period due to health related issues, 2. Is it possible to avoid serving notice period is you are under probation period.( East Delhi, Delhi )","Hello sir,First, many companies allowed you to pay a salary of notice period to the company and then the company realizes you from the position. We need your joining letter, offer letter or other related documents where we can find the exact terms and conditions in the extreme conditions of employment. Please provide relevant documents for an exact solution.","[""MEPS_26"", ""MEPS_40"", ""SCST_A_19"", ""RPSR_2""]","[""notice_period"", ""MHA_75"", ""FIN_A_1993"", ""RTE_23""]"
"Hi, I'm working as an IT employee, My father works in a private company where annual income is below 6 lakhs, and my mother works as govt primary school teacher, Am I eligible to get nc-obc certificate?( Bellary, Karnataka )","Hi,In order to qualify as an OBC non-creamy layer candidate, the applicant's parents' annual income should be less than Rs. 8 lakhs. Salary and agricultural income are not to be considered as income for calculating annual income for creamy layer status. As far as the Government employees are considered, the entry cadre/post is to be taken into consideration. Please confirm the following in your case.Please rate my answerThank You","[""IDA_17B"", ""EPF_12"", ""ESI_72"", ""ISM_12""]","[""INC_T_192"", ""BTC_112"", ""RPSR_237E"", ""GST_44""]"
"I was selected for a government job in 2016 through an examination. In March 2017, the result was declared invalid after a departmental investigation. Now, I got the job in 2019 after it was proved in CAT that cancellation of the result was arbitrary by the department. Now, can I demand for compensation in the court, as the department ruined almost 3 years of service life?( Kolkata, West Bengal )","Yes, you can demand compensation.","[""ATA_19""]","[""compensation"", ""EC_RULES_66"", ""BTC_263"", ""EC_RULES_67""]"
"Is a contract for work from home which is not physically signed, valid.( Ahmedabad, Gujarat )","Hi,Yes, it can be valid.","[""contract_labour"", ""HAMA_15"", ""GUJARAT_ELECTRICITY_1969"", ""HAMA_11""]","[""HAMA_15"", ""BTC_215"", ""HAMA_6"", ""HAMA_11""]"
"What is absconding law in India ?
Can my company abscond me if I'm not present at office for 2 days ?( Mumbai, Maharashtra )","The company has its own set of rules on absconding. Ensure that you follow to avoid any such issues. 2 days will be too short to treat absconding. Furthermore, notice needs to serve on you before they treat you absconding.","[""IDA_12"", ""IRC_41"", ""IRC_42"", ""IRC_43""]","[""absconding"", ""EC_RULES_66"", ""EC_RULES_67"", ""DPDP_5""]"
"My company is forcing me to resign as part of their retrenchment process, I have tried my best to convince them to retain me. They are giving me 3 months of fixed pay, medical benefits till March 31, 2024, and 15 15-day salary for every year of service according to retrenchment law. I am unsure if they notified the labour commissioner or related government departments. My HR is secretly conducting retrenchment without any formal email or notification, Please advise.( Thane, Maharashtra )","Dear Client,Usually in the Big Corporate Sector, the Company instead of retrenchment an employee holding a Director/Executive rank position insists on or forces him for submission of resignation for proven professional misconduct following Co's policy and considering the future career and social status of an employee because retrenchment puts a stigma on the career of an employee service record which may put on hold of the employee's further engagement. The Company also offers few lucrative benefits to outgoing employees if they tender their resignation and accept the offer of the Company. Since your position in the Company does not come under the purview of the Industrial Dispute Act, 1947, if you do not accept the Co's proposal for resignation then they may retrench or dismiss you from service holding a domestic inquiry against your professional misconduct or breach of any terms of employment. In that case, based on your confidence,  you have to access justice against the arbitrary and unjustified retrenchment/dismissal from service through a Civil Suit before a Civil Court. So, now the matter exclusively depends upon you.","[""IDA_25F"", ""IDA_25H"", ""IDA_25N"", ""IRC_64""]","[""retrenchment"", ""MHA_36"", ""MHA_48"", ""MEPS_33""]"
"I have been on leaves due to sickness and after 15 days have stopped responding to employer due to high mental stress. My employment contract is ending. And I've got 2 warning letter to which I responded and agreed to start working the next week, BUT then my employer says ""you don't need to work anyways your contact is ending"", even after asking for a reason didn't got it. I'm worried whether I'll be liable for any disciplinary action or not. As I have contacted the organisation and agreed to start working but the organisation itself is denying. NEED GENUINE LABOUR LAW ADVICE.( Pune, Maharashtra )","Dear Client,Since your contract of employment will end soon, the company is not in the mode of renewing the contract of an employee who has already been issued two warning letters for the commission of misconduct. So, you do not need to worry about disciplinary action as for non-renewal of contract, your relationship with the Company gets seized.","[""GST_117"", ""ESI_81"", ""GST_22"", ""EC_RULES_67""]","[""SRA_20"", ""SRA_12"", ""CLA_10"", ""WAGE_C_15""]"
"We would like to know, whether trainee/probationary can be employed for one year from the date of 1st day employment for operators. after one year , they will be confirmed as permanent and will be applicable for min wages act.
what payment to be given for the first year along with Esi and PF.( Bangalore, Karnataka )",Dear ClientYou need to check your company's service rules to know whether and how the probationers can be absorbed and confirmed. You talk to a lawyer with full details of your employment to have comprehensive understanding on this.,"[""EPF_6"", ""EPF_AT_2"", ""CCS_ME_3"", ""CCS_ME_5""]","[""EC_RULES_66"", ""EC_RULES_67"", ""BTC_187"", ""GST_37""]"
"Company asked me to leave after probation period As my employment not confirmed 
Due to : - 
1)	Manager doing many unethical practices he was fearing I will update to management (Proof I have).
2)	Not got any opportunity to clarify someone else
3)	In 6 month I have synchronize all activities, build two best team &amp; Enabled process for Cloud &amp; DevOps. So my manager now confident he can continue delivery as followed by my setup.
4)	Even at the time of joining I have not signed Code of Conduct policy because they are new to India operation I was worried they may utilize my skill and will remove me.
Please advise.( Bangalore, Karnataka )","A.Dear Sir/Madam,After completion of the probation period, it is the discretion of the employer to put you on permanent role or not. If you have proof regarding the issues he has made for you, then, you must complaint this to the head of the department before you leave the job.","[""SCST_A_19"", ""RPSR_2"", ""RPSR_3"", ""RPSR_156B""]","[""RPSR_39"", ""probation"", ""EC_RULES_66"", ""EC_RULES_72""]"
"I have signed a bond of 5 years in the company, I have completed one year. Now i have been put into PIP. If i get terminated or resign after the PIP period ends will i be liable to to pay the bond amount?( Bangalore, Karnataka )","Dear Client,In case you have resigned voluntarily before completing the bond period, many agreements would require you to pay the bond amount as you are breaking the contract. Check the specific clauses related to resignation, termination, and PIP.  If the terms are ambiguous, it might be helpful to discuss with your HR department or consult a legal professional to understand your obligations. Though If the bond explicitly states that you owe the bond amount upon resignation, you might have to pay it even if you resign after PIP. However, the company's ability to enforce the bond in this case would depend on the specific terms and conditions We hope that our response is helpful to you.","[""ICA_73"", ""ICA_74"", ""SRA_14"", ""SRA_16""]","[""EC_RULES_66"", ""employment_bond"", ""MHA_48"", ""MHA_36""]"
"My company removed me from the job without prior notice. I got this job a week back but they suddenly told your performance is not upto the mark so you will be kicked. Is this a right practice? I traveled around 400km for this job.( Bangalore, Karnataka )",Dear client ask for reason behind termination ask for all legal documents and file a Labour case near your area consult a Labour lawyer near you. Regards NITHYANANDAN.S,"[""GST_143"", ""GST_141"", ""LIM_54"", ""EC_RULES_66""]","[""labour_court"", ""contract_labour"", ""child_labour"", ""forced_labour""]"
"Dear Sir/Mam, I recently changed my job and in my new workplace PF is not contributed by the employer neither it is deducted from my salary. I requested them to deduct but they refused. My previous Employer used to deduct PF. I want my EPF to continue for retirement and tax benefits, what can I do?( Mathura, Uttar Pradesh )","Dear Client,If your employer hire more than 20 employees under him then he need to maintain EPF and contribute his share in that. In other case he can deny to contribute if all other employees in majority want EPF Exemption. These two condition are exemption in case of EPF for employer and in all other situation he need to contribute under EPF scheme. The punishment for employer who contravenes or make default is payment is prescribed i.e.punishable with imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.Thank You.","[""EPF_6"", ""EPF_AT_2"", ""CCS_ME_3"", ""CCS_ME_5""]","[""COMP_MA_30"", ""KSEA_27"", ""SOC_REG_22"", ""EPF_AT""]"
"The employment contract states that the company can terminate the employee without notice during the probation period. However the employee has to give a 2 month notice period or two months salary failing that, during probation. Is this legal?( Mumbai, Maharashtra )","Dear client,Yes the employer can terminate during the probation period without a prior notice, provided that this term is included in the agreement. Even the employee can terminate the employment, provided that it is aligning to the terms and conditions, agreement between them.If you are doubtful about the same, let an advocate review your agreement copy before you proceed further.","[""MEPS_26"", ""MEPS_40"", ""SCST_A_19"", ""RPSR_2""]","[""FIN_A_39"", ""FIN_A_40"", ""EC_RULES_71"", ""RPSR_39""]"
