source,target,attributes
IPC_499,defamation,{'type': 'DEFINES'}
IPC_499,PROC_DEFAMATION,{'type': 'LEADS_TO'}
IPC_500,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_500,defamation,{'type': 'DEFINES'}
IPC_500,PROC_DEFAMATION,{'type': 'LEADS_TO'}
IPC_503,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_503,criminal_intimidation,{'type': 'DEFINES'}
IPC_503,PROC_CRIMINAL_INTIMIDATION,{'type': 'LEADS_TO'}
IPC_504,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_504,criminal_intimidation,{'type': 'DEFINES'}
IPC_504,PROC_CRIMINAL_INTIMIDATION,{'type': 'LEADS_TO'}
IPC_506,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_506,criminal_intimidation,{'type': 'DEFINES'}
IPC_506,PROC_CRIMINAL_INTIMIDATION,{'type': 'LEADS_TO'}
IPC_509,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_509,sexual_harassment,{'type': 'DEFINES'}
IPC_489A,Indian Penal Code 1860,{'type': 'BELONGS_TO'}
IPC_489A,counterfeiting,{'type': 'DEFINES'}
CRPC_41,Code of Criminal Procedure 1973,{'type': 'BELONGS_TO'}
CRPC_41,arrest,{'type': 'DEFINES'}
CRPC_73,Code of Criminal Procedure 1973,{'type': 'BELONGS_TO'}
CRPC_73,arrest,{'type': 'DEFINES'}
CRPC_107,Code of Criminal Procedure 1973,{'type': 'BELONGS_TO'}
CRPC_107,public_nuisance,{'type': 'DEFINES'}
CRPC_107,PROC_CRIMINAL_INTIMIDATION,{'type': 'LEADS_TO'}
CRPC_116,Code of Criminal Procedure 1973,{'type': 'BELONGS_TO'}
CRPC_116,public_nuisance,{'type': 'DEFINES'}
CRPC_125,Code of Criminal Procedure 1973,{'type': 'BELONGS_TO'}
CRPC_125,maintenance,{'type': 'DEFINES'}
CRPC_125,PROC_MAINTENANCE,{'type': 'LEADS_TO'}
CRPC_133,Code of Criminal Procedure 1973,{'type': 'BELONGS_TO'}
CRPC_133,public_nuisance,{'type': 'DEFINES'}
CRPC_144,Code of Criminal Procedure 1973,{'type': 'BELONGS_TO'}
CRPC_144,public_nuisance,{'type': 'DEFINES'}
CRPC_154,Code of Criminal Procedure 1973,{'type': 'BELONGS_TO'}
CRPC_154,fir,{'type': 'DEFINES'}
CRPC_154,PROC_FIR_FILING,{'type': 'LEADS_TO'}
CRPC_154,PROC_SEXUAL_ASSAULT_COMPLAINT,{'type': 'LEADS_TO'}
CRPC_154,PROC_SCST_COMPLAINT,{'type': 'LEADS_TO'}
CRPC_154,PROC_CHEATING_FRAUD,{'type': 'LEADS_TO'}
CRPC_154,PROC_DOWRY_HARASSMENT,{'type': 'LEADS_TO'}
CRPC_154,PROC_KIDNAPPING,{'type': 'LEADS_TO'}
CRPC_154,PROC_CORRUPTION_COMPLAINT,{'type': 'LEADS_TO'}
CRPC_154,PROC_CRIMINAL_BREACH_TRUST,{'type': 'LEADS_TO'}
CRPC_156,Code of Criminal Procedure 1973,{'type': 'BELONGS_TO'}
CRPC_156,fir,{'type': 'DEFINES'}
CRPC_156,PROC_FIR_FILING,{'type': 'LEADS_TO'}
CRPC_160,Code of Criminal Procedure 1973,{'type': 'BELONGS_TO'}
CRPC_160,arrest,{'type': 'DEFINES'}
CRPC_161,Code of Criminal Procedure 1973,{'type': 'BELONGS_TO'}
CRPC_161,confession,{'type': 'DEFINES'}
CRPC_164,Code of Criminal Procedure 1973,{'type': 'BELONGS_TO'}
CRPC_164,confession,{'type': 'DEFINES'}
CRPC_164,PROC_SEXUAL_ASSAULT_COMPLAINT,{'type': 'LEADS_TO'}
CRPC_167,Code of Criminal Procedure 1973,{'type': 'BELONGS_TO'}
CRPC_167,bail,{'type': 'DEFINES'}
CRPC_167,arrest,{'type': 'DEFINES'}
CRPC_167,PROC_REGULAR_BAIL,{'type': 'LEADS_TO'}
CRPC_173,Code of Criminal Procedure 1973,{'type': 'BELONGS_TO'}
CRPC_173,charge_sheet,{'type': 'DEFINES'}
CRPC_195,Code of Criminal Procedure 1973,{'type': 'BELONGS_TO'}
CRPC_195,perjury,{'type': 'DEFINES'}
CRPC_200,Code of Criminal Procedure 1973,{'type': 'BELONGS_TO'}
CRPC_200,fir,{'type': 'DEFINES'}
CRPC_200,PROC_FIR_FILING,{'type': 'LEADS_TO'}
CRPC_200,PROC_CHEATING_FRAUD,{'type': 'LEADS_TO'}
CRPC_200,PROC_DEFAMATION,{'type': 'LEADS_TO'}
CRPC_205,Code of Criminal Procedure 1973,{'type': 'BELONGS_TO'}
CRPC_205,charge_sheet,{'type': 'DEFINES'}
CRPC_210,Code of Criminal Procedure 1973,{'type': 'BELONGS_TO'}
CRPC_210,fir,{'type': 'DEFINES'}
CRPC_210,charge_sheet,{'type': 'DEFINES'}
CRPC_216,Code of Criminal Procedure 1973,{'type': 'BELONGS_TO'}
CRPC_216,charge_sheet,{'type': 'DEFINES'}
CRPC_227,Code of Criminal Procedure 1973,{'type': 'BELONGS_TO'}
CRPC_227,charge_sheet,{'type': 'DEFINES'}
CRPC_239,Code of Criminal Procedure 1973,{'type': 'BELONGS_TO'}
CRPC_239,charge_sheet,{'type': 'DEFINES'}
CRPC_302,Code of Criminal Procedure 1973,{'type': 'BELONGS_TO'}
CRPC_302,fir,{'type': 'DEFINES'}
CRPC_317,Code of Criminal Procedure 1973,{'type': 'BELONGS_TO'}
CRPC_317,charge_sheet,{'type': 'DEFINES'}
CRPC_320,Code of Criminal Procedure 1973,{'type': 'BELONGS_TO'}
CRPC_320,cheating,{'type': 'DEFINES'}
CRPC_320,assault,{'type': 'DEFINES'}
CRPC_320,PROC_CHEQUE_BOUNCE,{'type': 'LEADS_TO'}
CRPC_320,PROC_DEFAMATION,{'type': 'LEADS_TO'}
CRPC_340,Code of Criminal Procedure 1973,{'type': 'BELONGS_TO'}
CRPC_340,perjury,{'type': 'DEFINES'}
CRPC_397,Code of Criminal Procedure 1973,{'type': 'BELONGS_TO'}
CRPC_397,bail,{'type': 'DEFINES'}
CRPC_397,PROC_REGULAR_BAIL,{'type': 'LEADS_TO'}
CRPC_438,Code of Criminal Procedure 1973,{'type': 'BELONGS_TO'}
CRPC_438,anticipatory_bail,{'type': 'DEFINES'}
CRPC_438,PROC_ANTICIPATORY_BAIL,{'type': 'LEADS_TO'}
CRPC_438,PROC_CRIMINAL_INTIMIDATION,{'type': 'LEADS_TO'}
CRPC_439,Code of Criminal Procedure 1973,{'type': 'BELONGS_TO'}
CRPC_439,bail,{'type': 'DEFINES'}
CRPC_439,PROC_ANTICIPATORY_BAIL,{'type': 'LEADS_TO'}
CRPC_439,PROC_REGULAR_BAIL,{'type': 'LEADS_TO'}
CRPC_451,Code of Criminal Procedure 1973,{'type': 'BELONGS_TO'}
CRPC_451,theft,{'type': 'DEFINES'}
CRPC_457,Code of Criminal Procedure 1973,{'type': 'BELONGS_TO'}
CRPC_457,theft,{'type': 'DEFINES'}
CRPC_482,Code of Criminal Procedure 1973,{'type': 'BELONGS_TO'}
CRPC_482,fir,{'type': 'DEFINES'}
CRPC_482,bail,{'type': 'DEFINES'}
CRPC_482,PROC_FIR_FILING,{'type': 'LEADS_TO'}
CRPC_482,PROC_SCST_COMPLAINT,{'type': 'LEADS_TO'}
SCST_3,SC/ST (Prevention of Atrocities) Act 1989,{'type': 'BELONGS_TO'}
SCST_3,sc_st_atrocity,{'type': 'DEFINES'}
SCST_3,PROC_SCST_COMPLAINT,{'type': 'LEADS_TO'}
SCST_7,SC/ST (Prevention of Atrocities) Act 1989,{'type': 'BELONGS_TO'}
SCST_7,sc_st_atrocity,{'type': 'DEFINES'}
SCST_7,PROC_SCST_COMPLAINT,{'type': 'LEADS_TO'}
POCSO_7,POCSO Act 2012,{'type': 'BELONGS_TO'}
POCSO_7,child_abuse,{'type': 'DEFINES'}
POCSO_7,PROC_SEXUAL_ASSAULT_COMPLAINT,{'type': 'LEADS_TO'}
DP_3,Dowry Prohibition Act 1961,{'type': 'BELONGS_TO'}
DP_3,dowry_harassment,{'type': 'DEFINES'}
DP_3,PROC_DOWRY_HARASSMENT,{'type': 'LEADS_TO'}
DP_4,Dowry Prohibition Act 1961,{'type': 'BELONGS_TO'}
DP_4,dowry_harassment,{'type': 'DEFINES'}
DP_4,PROC_DOWRY_HARASSMENT,{'type': 'LEADS_TO'}
NIA_138,Negotiable Instruments Act 1881,{'type': 'BELONGS_TO'}
NIA_138,cheque_bounce,{'type': 'DEFINES'}
NIA_138,PROC_CHEQUE_BOUNCE,{'type': 'LEADS_TO'}
HMA_9,Hindu Marriage Act 1955,{'type': 'BELONGS_TO'}
HMA_9,maintenance,{'type': 'DEFINES'}
HMA_9,PROC_MAINTENANCE,{'type': 'LEADS_TO'}
PCA_7,Prevention of Corruption Act 1988,{'type': 'BELONGS_TO'}
PCA_7,corruption,{'type': 'DEFINES'}
PCA_7,PROC_CORRUPTION_COMPLAINT,{'type': 'LEADS_TO'}
PCA_13,Prevention of Corruption Act 1988,{'type': 'BELONGS_TO'}
PCA_13,corruption,{'type': 'DEFINES'}
PCA_13,PROC_CORRUPTION_COMPLAINT,{'type': 'LEADS_TO'}
ICA_73,Indian Contract Act 1872,{'type': 'BELONGS_TO'}
ICA_73,cheating,{'type': 'DEFINES'}
ICA_73,criminal_breach_of_trust,{'type': 'DEFINES'}
ICA_74,Indian Contract Act 1872,{'type': 'BELONGS_TO'}
ICA_74,cheating,{'type': 'DEFINES'}
ICA_75,Indian Contract Act 1872,{'type': 'BELONGS_TO'}
ICA_75,cheating,{'type': 'DEFINES'}
CPC_24,Code of Civil Procedure 1908,{'type': 'BELONGS_TO'}
CPC_24,fir,{'type': 'DEFINES'}
IEA_27,Indian Evidence Act 1872,{'type': 'BELONGS_TO'}
IEA_27,confession,{'type': 'DEFINES'}
IEA_27,arrest,{'type': 'DEFINES'}
IEA_45,Indian Evidence Act 1872,{'type': 'BELONGS_TO'}
IEA_45,forgery,{'type': 'DEFINES'}
IEA_45,rape,{'type': 'DEFINES'}
IEA_45,PROC_FORGERY,{'type': 'LEADS_TO'}
RA_82,Registration Act 1908,{'type': 'BELONGS_TO'}
RA_82,forgery,{'type': 'DEFINES'}
RA_82,PROC_FORGERY,{'type': 'LEADS_TO'}
RA_83,Registration Act 1908,{'type': 'BELONGS_TO'}
RA_83,forgery,{'type': 'DEFINES'}
DK_BASU_GUIDELINES_1997,CRPC_41,{'type': 'GOVERNED_BY'}
DK_BASU_GUIDELINES_1997,CRPC_167,{'type': 'GOVERNED_BY'}
LALITA_KUMARI_DIRECTIONS_2014,CRPC_154,{'type': 'GOVERNED_BY'}
LALITA_KUMARI_DIRECTIONS_2014,CRPC_156,{'type': 'GOVERNED_BY'}
ARNESH_KUMAR_DIRECTIONS_2014,CRPC_41,{'type': 'GOVERNED_BY'}
ARNESH_KUMAR_DIRECTIONS_2014,CRPC_167,{'type': 'GOVERNED_BY'}
POCSO_RULES_2020,POCSO_7,{'type': 'GOVERNED_BY'}
POCSO_RULES_2020,CRPC_154,{'type': 'GOVERNED_BY'}
SCST_ACT_RULES_1995,SCST_3,{'type': 'GOVERNED_BY'}
SCST_ACT_RULES_1995,SCST_7,{'type': 'GOVERNED_BY'}
NI_ACT_AMENDMENT_2018,NIA_138,{'type': 'GOVERNED_BY'}
SATENDER_ANTIL_BAIL_GUIDELINES_2022,CRPC_438,{'type': 'GOVERNED_BY'}
SATENDER_ANTIL_BAIL_GUIDELINES_2022,CRPC_439,{'type': 'GOVERNED_BY'}
SATENDER_ANTIL_BAIL_GUIDELINES_2022,CRPC_167,{'type': 'GOVERNED_BY'}
DK_BASU_1997,ART_21,{'type': 'INTERPRETS'}
DK_BASU_1997,ART_22,{'type': 'INTERPRETS'}
DK_BASU_1997,CRPC_41,{'type': 'INTERPRETS'}
DK_BASU_1997,CRPC_167,{'type': 'INTERPRETS'}
HUSSAINARA_KHATOON_1979,ART_21,{'type': 'INTERPRETS'}
HUSSAINARA_KHATOON_1979,ART_39A,{'type': 'INTERPRETS'}
HUSSAINARA_KHATOON_1979,CRPC_167,{'type': 'INTERPRETS'}
LALITA_KUMARI_2014,ART_21,{'type': 'INTERPRETS'}
LALITA_KUMARI_2014,CRPC_154,{'type': 'INTERPRETS'}
LALITA_KUMARI_2014,CRPC_156,{'type': 'INTERPRETS'}
ARNESH_KUMAR_2014,ART_21,{'type': 'INTERPRETS'}
ARNESH_KUMAR_2014,ART_22,{'type': 'INTERPRETS'}
ARNESH_KUMAR_2014,CRPC_41,{'type': 'INTERPRETS'}
SATENDER_ANTIL_2022,ART_21,{'type': 'INTERPRETS'}
SATENDER_ANTIL_2022,CRPC_438,{'type': 'INTERPRETS'}
SATENDER_ANTIL_2022,CRPC_439,{'type': 'INTERPRETS'}
SATENDER_ANTIL_2022,CRPC_167,{'type': 'INTERPRETS'}
MANEKA_GANDHI_1978,ART_21,{'type': 'INTERPRETS'}
MANEKA_GANDHI_1978,ART_14,{'type': 'INTERPRETS'}
GIAN_KAUR_1996,ART_21,{'type': 'INTERPRETS'}
GIAN_KAUR_1996,IPC_309,{'type': 'INTERPRETS'}
VISHAKHA_1997,ART_14,{'type': 'INTERPRETS'}
VISHAKHA_1997,ART_21,{'type': 'INTERPRETS'}
VISHAKHA_1997,IPC_354A,{'type': 'INTERPRETS'}
VISHAKHA_1997,IPC_354,{'type': 'INTERPRETS'}
SUBRAMANIAN_SWAMY_2016,ART_21,{'type': 'INTERPRETS'}
SUBRAMANIAN_SWAMY_2016,IPC_499,{'type': 'INTERPRETS'}
SUBRAMANIAN_SWAMY_2016,IPC_500,{'type': 'INTERPRETS'}
P_CHIDAMBARAM_2019,ART_21,{'type': 'INTERPRETS'}
P_CHIDAMBARAM_2019,CRPC_438,{'type': 'INTERPRETS'}
JOGINDER_KUMAR_1994,ART_21,{'type': 'INTERPRETS'}
JOGINDER_KUMAR_1994,ART_22,{'type': 'INTERPRETS'}
JOGINDER_KUMAR_1994,CRPC_41,{'type': 'INTERPRETS'}
Q_0,forgery,{'type': 'RELATES_TO'}
Q_0,cybercrime,{'type': 'RELATES_TO'}
Q_0,defamation,{'type': 'RELATES_TO'}
Q_0,IPC_465,{'type': 'MATCHES'}
Q_0,IPC_467,{'type': 'MATCHES'}
Q_0,IPC_468,{'type': 'MATCHES'}
Q_0,IPC_471,{'type': 'MATCHES'}
Q_0,IEA_45,{'type': 'MATCHES'}
Q_0,RA_82,{'type': 'MATCHES'}
Q_0,RA_83,{'type': 'MATCHES'}
Q_0,IPC_499,{'type': 'MATCHES'}
Q_0,IPC_500,{'type': 'MATCHES'}
Q_4,fir,{'type': 'RELATES_TO'}
Q_4,bail,{'type': 'RELATES_TO'}
Q_4,CRPC_154,{'type': 'MATCHES'}
Q_4,CRPC_156,{'type': 'MATCHES'}
Q_4,CRPC_200,{'type': 'MATCHES'}
Q_4,CRPC_210,{'type': 'MATCHES'}
Q_4,CRPC_302,{'type': 'MATCHES'}
Q_4,CRPC_482,{'type': 'MATCHES'}
Q_4,CPC_24,{'type': 'MATCHES'}
Q_4,CRPC_167,{'type': 'MATCHES'}
Q_4,CRPC_397,{'type': 'MATCHES'}
Q_4,CRPC_439,{'type': 'MATCHES'}
Q_9,cheque_bounce,{'type': 'RELATES_TO'}
Q_9,arrest,{'type': 'RELATES_TO'}
Q_9,anticipatory_bail,{'type': 'RELATES_TO'}
Q_9,NIA_138,{'type': 'MATCHES'}
Q_9,CRPC_41,{'type': 'MATCHES'}
Q_9,CRPC_73,{'type': 'MATCHES'}
Q_9,CRPC_160,{'type': 'MATCHES'}
Q_9,CRPC_167,{'type': 'MATCHES'}
Q_9,IEA_27,{'type': 'MATCHES'}
Q_9,CRPC_438,{'type': 'MATCHES'}
Q_10,fir,{'type': 'RELATES_TO'}
Q_10,CRPC_154,{'type': 'MATCHES'}
Q_10,CRPC_156,{'type': 'MATCHES'}
Q_10,CRPC_200,{'type': 'MATCHES'}
Q_10,CRPC_210,{'type': 'MATCHES'}
Q_10,CRPC_302,{'type': 'MATCHES'}
Q_10,CRPC_482,{'type': 'MATCHES'}
Q_10,CPC_24,{'type': 'MATCHES'}
Q_12,charge_sheet,{'type': 'RELATES_TO'}
Q_12,CRPC_173,{'type': 'MATCHES'}
Q_12,CRPC_205,{'type': 'MATCHES'}
Q_12,CRPC_210,{'type': 'MATCHES'}
Q_12,CRPC_216,{'type': 'MATCHES'}
Q_12,CRPC_227,{'type': 'MATCHES'}
Q_12,CRPC_239,{'type': 'MATCHES'}
Q_12,CRPC_317,{'type': 'MATCHES'}
Q_13,fir,{'type': 'RELATES_TO'}
Q_13,CRPC_154,{'type': 'MATCHES'}
Q_13,CRPC_156,{'type': 'MATCHES'}
Q_13,CRPC_200,{'type': 'MATCHES'}
Q_13,CRPC_210,{'type': 'MATCHES'}
Q_13,CRPC_302,{'type': 'MATCHES'}
Q_13,CRPC_482,{'type': 'MATCHES'}
Q_13,CPC_24,{'type': 'MATCHES'}
Q_14,maintenance,{'type': 'RELATES_TO'}
Q_14,CRPC_125,{'type': 'MATCHES'}
Q_14,HMA_9,{'type': 'MATCHES'}
Q_15,cheating,{'type': 'RELATES_TO'}
Q_15,criminal_breach_of_trust,{'type': 'RELATES_TO'}
Q_15,IPC_415,{'type': 'MATCHES'}
Q_15,IPC_417,{'type': 'MATCHES'}
Q_15,IPC_419,{'type': 'MATCHES'}
Q_15,IPC_420,{'type': 'MATCHES'}
Q_15,CRPC_320,{'type': 'MATCHES'}
Q_15,ICA_73,{'type': 'MATCHES'}
Q_15,ICA_74,{'type': 'MATCHES'}
Q_15,ICA_75,{'type': 'MATCHES'}
Q_15,IPC_406,{'type': 'MATCHES'}
