node_id,type,label,source_graph,level,original_id,text,number,act,desc,query_text,informative_answer,actionable_answer,readable_answer
PC::High Court Directed Compliance with Modified Rules,LegalProvision,High Court Directed Compliance with Modified Rules,PC_Family,pc,High Court Directed Compliance with Modified Rules,,,,,,,,
PC::Previous Rules Required 10 Years Experience,LegalProvision,Previous Rules Required 10 Years Experience,PC_Family,pc,Previous Rules Required 10 Years Experience,,,,,,,,
PC::Modified Rules Reduced Experience Requirement to 7 Years,LegalProvision,Modified Rules Reduced Experience Requirement to 7 Years,PC_Family,pc,Modified Rules Reduced Experience Requirement to 7 Years,,,,,,,,
PC::Promotions Made Prior to Rule Publication Challenged,LegalProvision,Promotions Made Prior to Rule Publication Challenged,PC_Family,pc,Promotions Made Prior to Rule Publication Challenged,,,,,,,,
PC::Section 80B of the M.M.C. Act,LegalProvision,Section 80B of the M.M.C. Act,PC_Family,pc,Section 80B of the M.M.C. Act,,,,,,,,
PC::Jurisdictional Issue Raised,CaseFact,Jurisdictional Issue Raised,PC_Family,pc,Jurisdictional Issue Raised,,,,,,,,
PC::Both Courts Acknowledged Jurisdiction,CaseFact,Both Courts Acknowledged Jurisdiction,PC_Family,pc,Both Courts Acknowledged Jurisdiction,,,,,,,,
PC::High Court Allowed Transfer of Proceedings,CaseFact,High Court Allowed Transfer of Proceedings,PC_Family,pc,High Court Allowed Transfer of Proceedings,,,,,,,,
PC::Arbitration Clause Invoked,LegalProvision,Arbitration Clause Invoked,PC_Family,pc,Arbitration Clause Invoked,,,,,,,,
PC::Disputes Arising from Contract Execution,LegalProvision,Disputes Arising from Contract Execution,PC_Family,pc,Disputes Arising from Contract Execution,,,,,,,,
"PC::Section 2(1)(e) of the Arbitration and Conciliation Act, 1996",LegalProvision,"Section 2(1)(e) of the Arbitration and Conciliation Act, 1996",PC_Family,pc,"Section 2(1)(e) of the Arbitration and Conciliation Act, 1996",,,,,,,,
"PC::Section 24 of the Code of Civil Procedure, 1908",LegalProvision,"Section 24 of the Code of Civil Procedure, 1908",PC_Family,pc,"Section 24 of the Code of Civil Procedure, 1908",,,,,,,,
"PC::Section 16 of the Code of Civil Procedure, 1908",LegalProvision,"Section 16 of the Code of Civil Procedure, 1908",PC_Family,pc,"Section 16 of the Code of Civil Procedure, 1908",,,,,,,,
PC::Gang-Rape Incident Reported,CaseFact,Gang-Rape Incident Reported,PC_Family,pc,Gang-Rape Incident Reported,,,,,,,,
PC::Court Took Suo Motu Action,CaseFact,Court Took Suo Motu Action,PC_Family,pc,Court Took Suo Motu Action,,,,,,,,
PC::State Failed to Protect Victim,CaseFact,State Failed to Protect Victim,PC_Family,pc,State Failed to Protect Victim,,,,,,,,
PC::Victim Compensation Ordered,CaseFact,Victim Compensation Ordered,PC_Family,pc,Victim Compensation Ordered,,,,,,,,
PC::Rehabilitation Measures Implemented,CaseFact,Rehabilitation Measures Implemented,PC_Family,pc,Rehabilitation Measures Implemented,,,,,,,,
PC::Claimant Suffered Multiple Injuries,CaseFact,Claimant Suffered Multiple Injuries,PC_Family,pc,Claimant Suffered Multiple Injuries,,,,,,,,
PC::Claimant Paralyzed Due to Accident,CaseFact,Claimant Paralyzed Due to Accident,PC_Family,pc,Claimant Paralyzed Due to Accident,,,,,,,,
PC::Claimant Required Constant Care,CaseFact,Claimant Required Constant Care,PC_Family,pc,Claimant Required Constant Care,,,,,,,,
PC::Claimant Filed for Compensation,CaseFact,Claimant Filed for Compensation,PC_Family,pc,Claimant Filed for Compensation,,,,,,,,
PC::High Court Enhanced Compensation,CaseFact,High Court Enhanced Compensation,PC_Family,pc,High Court Enhanced Compensation,,,,,,,,
PC::Future Treatment Required for Claimant,CaseFact,Future Treatment Required for Claimant,PC_Family,pc,Future Treatment Required for Claimant,,,,,,,,
PC::Pain and Suffering Acknowledged by Court,CaseFact,Pain and Suffering Acknowledged by Court,PC_Family,pc,Pain and Suffering Acknowledged by Court,,,,,,,,
"PC::Section 168 of the Motor Vehicles Act, 1988",LegalProvision,"Section 168 of the Motor Vehicles Act, 1988",PC_Family,pc,"Section 168 of the Motor Vehicles Act, 1988",,,,,,,,
PC::Sarla Verma vs. Delhi Transport Corporation,CaseFact,Sarla Verma vs. Delhi Transport Corporation,PC_Family,pc,Sarla Verma vs. Delhi Transport Corporation,,,,,,,,
PC::Santosh Devi vs. National Insurance Company Ltd.,CaseFact,Santosh Devi vs. National Insurance Company Ltd.,PC_Family,pc,Santosh Devi vs. National Insurance Company Ltd.,,,,,,,,
PC::Rajesh vs. Rajbir Singh,CaseFact,Rajesh vs. Rajbir Singh,PC_Family,pc,Rajesh vs. Rajbir Singh,,,,,,,,
PC::Detention Under COFEPOSA Challenged,CaseFact,Detention Under COFEPOSA Challenged,PC_Family,pc,Detention Under COFEPOSA Challenged,,,,,,,,
PC::Forfeiture of Property Ordered,CaseFact,Forfeiture of Property Ordered,PC_Family,pc,Forfeiture of Property Ordered,,,,,,,,
PC::Writ Petition Filed Against Forfeiture,CaseFact,Writ Petition Filed Against Forfeiture,PC_Family,pc,Writ Petition Filed Against Forfeiture,,,,,,,,
PC::High Court Allowed Partial Appeal,CaseFact,High Court Allowed Partial Appeal,PC_Family,pc,High Court Allowed Partial Appeal,,,,,,,,
PC::Communication of Reasons for Forfeiture Provided,CaseFact,Communication of Reasons for Forfeiture Provided,PC_Family,pc,Communication of Reasons for Forfeiture Provided,,,,,,,,
PC::Appellant Claimed Violation of Article 20,LegalProvision,Appellant Claimed Violation of Article 20,PC_Family,pc,Appellant Claimed Violation of Article 20,,,,,,,,
"PC::Section 6(1) of the Smugglers and Foreign Exchange Manipulators (Forfeiture of Property) Act, 1976",LegalProvision,"Section 6(1) of the Smugglers and Foreign Exchange Manipulators (Forfeiture of Property) Act, 1976",PC_Family,pc,"Section 6(1) of the Smugglers and Foreign Exchange Manipulators (Forfeiture of Property) Act, 1976",,,,,,,,
"PC::Section 7(1) of the Smugglers and Foreign Exchange Manipulators (Forfeiture of Property) Act, 1976",LegalProvision,"Section 7(1) of the Smugglers and Foreign Exchange Manipulators (Forfeiture of Property) Act, 1976",PC_Family,pc,"Section 7(1) of the Smugglers and Foreign Exchange Manipulators (Forfeiture of Property) Act, 1976",,,,,,,,
PC::Article 20 of the Constitution of India,LegalProvision,Article 20 of the Constitution of India,PC_Family,pc,Article 20 of the Constitution of India,,,,,,,,
PC::Writ Petition Challenging Letters Issued,CaseFact,Writ Petition Challenging Letters Issued,PC_Family,pc,Writ Petition Challenging Letters Issued,,,,,,,,
PC::Petitioners Claimed Violation of Fundamental Rights,CaseFact,Petitioners Claimed Violation of Fundamental Rights,PC_Family,pc,Petitioners Claimed Violation of Fundamental Rights,,,,,,,,
PC::Anonymous Complaint Received Alleging Irregularities,CaseFact,Anonymous Complaint Received Alleging Irregularities,PC_Family,pc,Anonymous Complaint Received Alleging Irregularities,,,,,,,,
PC::Inquiry Closed Based on Official Response,CaseFact,Inquiry Closed Based on Official Response,PC_Family,pc,Inquiry Closed Based on Official Response,,,,,,,,
PC::Subsequent Complaint Filed with Similar Allegations,CaseFact,Subsequent Complaint Filed with Similar Allegations,PC_Family,pc,Subsequent Complaint Filed with Similar Allegations,,,,,,,,
PC::Lokayukt Summoned Officials for Evidence,CaseFact,Lokayukt Summoned Officials for Evidence,PC_Family,pc,Lokayukt Summoned Officials for Evidence,,,,,,,,
PC::Petitioners Aggrieved by Breach of Privilege Action,CaseFact,Petitioners Aggrieved by Breach of Privilege Action,PC_Family,pc,Petitioners Aggrieved by Breach of Privilege Action,,,,,,,,
PC::Article 14 of the Constitution of India,LegalProvision,Article 14 of the Constitution of India,PC_Family,pc,Article 14 of the Constitution of India,,,,,,,,
PC::Article 19 of the Constitution of India,LegalProvision,Article 19 of the Constitution of India,PC_Family,pc,Article 19 of the Constitution of India,,,,,,,,
PC::Article 21 of the Constitution of India,LegalProvision,Article 21 of the Constitution of India,PC_Family,pc,Article 21 of the Constitution of India,,,,,,,,
PC::Violation of Production Conditions Established,CaseFact,Violation of Production Conditions Established,PC_Family,pc,Violation of Production Conditions Established,,,,,,,,
PC::Tax Exemption Benefit Granted Subject to Conditions,CaseFact,Tax Exemption Benefit Granted Subject to Conditions,PC_Family,pc,Tax Exemption Benefit Granted Subject to Conditions,,,,,,,,
PC::Production Levels Monitored Post Exemption Period,CaseFact,Production Levels Monitored Post Exemption Period,PC_Family,pc,Production Levels Monitored Post Exemption Period,,,,,,,,
PC::Expansion Unit Established After Exemption Period,CaseFact,Expansion Unit Established After Exemption Period,PC_Family,pc,Expansion Unit Established After Exemption Period,,,,,,,,
PC::Claim of Production Increase Not Accepted,CaseFact,Claim of Production Increase Not Accepted,PC_Family,pc,Claim of Production Increase Not Accepted,,,,,,,,
PC::High Court Quashed Lower Orders Based on Erroneous Consideration,CaseFact,High Court Quashed Lower Orders Based on Erroneous Consideration,PC_Family,pc,High Court Quashed Lower Orders Based on Erroneous Consideration,,,,,,,,
PC::R.K. Mittal Woolen Mills v. State of Haryana,CaseLaw,R.K. Mittal Woolen Mills v. State of Haryana,PC_Family,pc,R.K. Mittal Woolen Mills v. State of Haryana,,,,,,,,
PC::Execution of Death Sentence Challenged,CaseFact,Execution of Death Sentence Challenged,PC_Family,pc,Execution of Death Sentence Challenged,,,,,,,,
PC::Petitioners Claimed Violation of Article 21,LegalProvision,Petitioners Claimed Violation of Article 21,PC_Family,pc,Petitioners Claimed Violation of Article 21,,,,,,,,
PC::Writ Petitions Filed Under Article 32,LegalProvision,Writ Petitions Filed Under Article 32,PC_Family,pc,Writ Petitions Filed Under Article 32,,,,,,,,
PC::Maintainability of Petitions Affirmed,CaseFact,Maintainability of Petitions Affirmed,PC_Family,pc,Maintainability of Petitions Affirmed,,,,,,,,
PC::Power of Pardon Discussed,CaseFact,Power of Pardon Discussed,PC_Family,pc,Power of Pardon Discussed,,,,,,,,
PC::High Court Directed Civil Suit for Land Recovery,CaseFact,High Court Directed Civil Suit for Land Recovery,PC_Family,pc,High Court Directed Civil Suit for Land Recovery,,,,,,,,
PC::Possession of Land Disputed,CaseFact,Possession of Land Disputed,PC_Family,pc,Possession of Land Disputed,,,,,,,,
PC::Appellant Claimed Ownership of Land,CaseFact,Appellant Claimed Ownership of Land,PC_Family,pc,Appellant Claimed Ownership of Land,,,,,,,,
PC::Possession Not Legally Taken by Authorities,CaseFact,Possession Not Legally Taken by Authorities,PC_Family,pc,Possession Not Legally Taken by Authorities,,,,,,,,
"PC::Section 10 of the Urban Land Ceiling and Regulation Act, 1976",LegalProvision,"Section 10 of the Urban Land Ceiling and Regulation Act, 1976",PC_Family,pc,"Section 10 of the Urban Land Ceiling and Regulation Act, 1976",,,,,,,,
PC::Section 226 of the Constitution of India,LegalProvision,Section 226 of the Constitution of India,PC_Family,pc,Section 226 of the Constitution of India,,,,,,,,
PC::Injuries Sustained by Victim,CaseFact,Injuries Sustained by Victim,PC_Family,pc,Injuries Sustained by Victim,,,,,,,,
PC::High Court Refused to Quash FIR,CaseFact,High Court Refused to Quash FIR,PC_Family,pc,High Court Refused to Quash FIR,,,,,,,,
PC::Settlement Between Parties,CaseFact,Settlement Between Parties,PC_Family,pc,Settlement Between Parties,,,,,,,,
PC::Nature of Offence Considered Serious,CaseFact,Nature of Offence Considered Serious,PC_Family,pc,Nature of Offence Considered Serious,,,,,,,,
PC::Criminal Proceedings Pending Against Petitioners,CaseFact,Criminal Proceedings Pending Against Petitioners,PC_Family,pc,Criminal Proceedings Pending Against Petitioners,,,,,,,,
PC::Section 482 of the Code of Criminal Procedure,LegalProvision,Section 482 of the Code of Criminal Procedure,PC_Family,pc,Section 482 of the Code of Criminal Procedure,,,,,,,,
PC::Section 307 of IPC,LegalProvision,Section 307 of IPC,PC_Family,pc,Section 307 of IPC,,,,,,,,
PC::Section 320 of the Code of Criminal Procedure,LegalProvision,Section 320 of the Code of Criminal Procedure,PC_Family,pc,Section 320 of the Code of Criminal Procedure,,,,,,,,
PC::Young Lady Assaulted and Died,CaseFact,Young Lady Assaulted and Died,PC_Family,pc,Young Lady Assaulted and Died,,,,,,,,
PC::Juvenile Offender Case Referred to Juvenile Justice Board,CaseFact,Juvenile Offender Case Referred to Juvenile Justice Board,PC_Family,pc,Juvenile Offender Case Referred to Juvenile Justice Board,,,,,,,,
PC::Petitioners Sought Impleadment in Juvenile Proceedings,CaseFact,Petitioners Sought Impleadment in Juvenile Proceedings,PC_Family,pc,Petitioners Sought Impleadment in Juvenile Proceedings,,,,,,,,
PC::High Court Dismissed Writ Petition,CaseFact,High Court Dismissed Writ Petition,PC_Family,pc,High Court Dismissed Writ Petition,,,,,,,,
PC::Petitioners Argued for Trial in Regular Court,CaseFact,Petitioners Argued for Trial in Regular Court,PC_Family,pc,Petitioners Argued for Trial in Regular Court,,,,,,,,
PC::Juvenile Justice Act Interpretation Disputed,LegalProvision,Juvenile Justice Act Interpretation Disputed,PC_Family,pc,Juvenile Justice Act Interpretation Disputed,,,,,,,,
PC::Maintainability of Special Leave Petition Challenged,CaseFact,Maintainability of Special Leave Petition Challenged,PC_Family,pc,Maintainability of Special Leave Petition Challenged,,,,,,,,
PC::High Court Imposed Penalties on Concessionaire,CaseFact,High Court Imposed Penalties on Concessionaire,PC_Family,pc,High Court Imposed Penalties on Concessionaire,,,,,,,,
PC::Concession Agreement Terms Disputed,CaseFact,Concession Agreement Terms Disputed,PC_Family,pc,Concession Agreement Terms Disputed,,,,,,,,
PC::Public Interest Litigation Filed Due to Road Accident,CaseFact,Public Interest Litigation Filed Due to Road Accident,PC_Family,pc,Public Interest Litigation Filed Due to Road Accident,,,,,,,,
PC::High Court Ignored Reasons for Delay,CaseFact,High Court Ignored Reasons for Delay,PC_Family,pc,High Court Ignored Reasons for Delay,,,,,,,,
PC::Delay in Highway Construction Attributed to NHAI,CaseFact,Delay in Highway Construction Attributed to NHAI,PC_Family,pc,Delay in Highway Construction Attributed to NHAI,,,,,,,,
PC::Appellant Claimed Compliance with Concession Agreement,CaseFact,Appellant Claimed Compliance with Concession Agreement,PC_Family,pc,Appellant Claimed Compliance with Concession Agreement,,,,,,,,
PC::High Court Directed Completion of Highway Project,CaseFact,High Court Directed Completion of Highway Project,PC_Family,pc,High Court Directed Completion of Highway Project,,,,,,,,
PC::Article 226 of the Constitution of India,LegalProvision,Article 226 of the Constitution of India,PC_Family,pc,Article 226 of the Constitution of India,,,,,,,,
PC::Ejectment Notice Issued by Land Manager,CaseFact,Ejectment Notice Issued by Land Manager,PC_Family,pc,Ejectment Notice Issued by Land Manager,,,,,,,,
PC::Lease Termination Challenged by Petitioners,CaseFact,Lease Termination Challenged by Petitioners,PC_Family,pc,Lease Termination Challenged by Petitioners,,,,,,,,
PC::Chairman Authorized Ejectment Notices,CaseFact,Chairman Authorized Ejectment Notices,PC_Family,pc,Chairman Authorized Ejectment Notices,,,,,,,,
PC::Delegation of Powers by Board Established,CaseFact,Delegation of Powers by Board Established,PC_Family,pc,Delegation of Powers by Board Established,,,,,,,,
PC::Ejectment Notice Considered Ministerial Act,LegalProvision,Ejectment Notice Considered Ministerial Act,PC_Family,pc,Ejectment Notice Considered Ministerial Act,,,,,,,,
"PC::Section 21 of the Major Port Trusts Act, 1963",LegalProvision,"Section 21 of the Major Port Trusts Act, 1963",PC_Family,pc,"Section 21 of the Major Port Trusts Act, 1963",,,,,,,,
PC::Joint Family Relationship Established,CaseFact,Joint Family Relationship Established,PC_Family,pc,Joint Family Relationship Established,,,,,,,,
PC::Altercation Over Land Share,CaseFact,Altercation Over Land Share,PC_Family,pc,Altercation Over Land Share,,,,,,,,
PC::Murder Committed During Night,CaseFact,Murder Committed During Night,PC_Family,pc,Murder Committed During Night,,,,,,,,
PC::Witness Identified Accused,CaseFact,Witness Identified Accused,PC_Family,pc,Witness Identified Accused,,,,,,,,
PC::Evidence of Interested Witnesses Scrutinized,CaseFact,Evidence of Interested Witnesses Scrutinized,PC_Family,pc,Evidence of Interested Witnesses Scrutinized,,,,,,,,
PC::Presence of Blood Stains on Witness Clothes,CaseFact,Presence of Blood Stains on Witness Clothes,PC_Family,pc,Presence of Blood Stains on Witness Clothes,,,,,,,,
PC::Prosecution Witnesses Provided Corroboration,CaseFact,Prosecution Witnesses Provided Corroboration,PC_Family,pc,Prosecution Witnesses Provided Corroboration,,,,,,,,
"PC::Section 302 of the Indian Penal Code, 1860",LegalProvision,"Section 302 of the Indian Penal Code, 1860",PC_Family,pc,"Section 302 of the Indian Penal Code, 1860",,,,,,,,
PC::Court Found No Charge Created on Assets,CaseFact,Court Found No Charge Created on Assets,PC_Family,pc,Court Found No Charge Created on Assets,,,,,,,,
PC::Appellant Cannot Claim Preferential Right,CaseFact,Appellant Cannot Claim Preferential Right,PC_Family,pc,Appellant Cannot Claim Preferential Right,,,,,,,,
"PC::Section 125 of the Companies Act, 1956",LegalProvision,"Section 125 of the Companies Act, 1956",PC_Family,pc,"Section 125 of the Companies Act, 1956",,,,,,,,
PC::Undertaking Did Not Create Secured Creditor Status,CaseFact,Undertaking Did Not Create Secured Creditor Status,PC_Family,pc,Undertaking Did Not Create Secured Creditor Status,,,,,,,,
"PC::Sections 529 and 529A of the Companies Act, 1956",LegalProvision,"Sections 529 and 529A of the Companies Act, 1956",PC_Family,pc,"Sections 529 and 529A of the Companies Act, 1956",,,,,,,,
PC::Voluntary Open Offer Made,CaseFact,Voluntary Open Offer Made,PC_Family,pc,Voluntary Open Offer Made,,,,,,,,
PC::Withdrawal of Open Offer Requested,CaseFact,Withdrawal of Open Offer Requested,PC_Family,pc,Withdrawal of Open Offer Requested,,,,,,,,
PC::Delay by SEBI in Approving Offer,CaseFact,Delay by SEBI in Approving Offer,PC_Family,pc,Delay by SEBI in Approving Offer,,,,,,,,
PC::Claim of Offer Becoming Uneconomical,CaseFact,Claim of Offer Becoming Uneconomical,PC_Family,pc,Claim of Offer Becoming Uneconomical,,,,,,,,
PC::Public Announcement Made for Shareholders,CaseFact,Public Announcement Made for Shareholders,PC_Family,pc,Public Announcement Made for Shareholders,,,,,,,,
PC::Regulation 27 of the Takeover Regulations,LegalProvision,Regulation 27 of the Takeover Regulations,PC_Family,pc,Regulation 27 of the Takeover Regulations,,,,,,,,
PC::Selection Process Found Vitiated,CaseFact,Selection Process Found Vitiated,PC_Family,pc,Selection Process Found Vitiated,,,,,,,,
PC::Irregularities in Appointment Process Established,CaseFact,Irregularities in Appointment Process Established,PC_Family,pc,Irregularities in Appointment Process Established,,,,,,,,
PC::Chancellor Directed Inquiry into Selection Process,CaseFact,Chancellor Directed Inquiry into Selection Process,PC_Family,pc,Chancellor Directed Inquiry into Selection Process,,,,,,,,
PC::Justice Dhabe Committee Report Criticized Selection Process,CaseFact,Justice Dhabe Committee Report Criticized Selection Process,PC_Family,pc,Justice Dhabe Committee Report Criticized Selection Process,,,,,,,,
PC::Petitioners Claimed Appointments Were Regular,CaseFact,Petitioners Claimed Appointments Were Regular,PC_Family,pc,Petitioners Claimed Appointments Were Regular,,,,,,,,
PC::Disciplinary Action Initiated Against Selection Committee Members,CaseFact,Disciplinary Action Initiated Against Selection Committee Members,PC_Family,pc,Disciplinary Action Initiated Against Selection Committee Members,,,,,,,,
"PC::Section 11 of the Maharashtra Agricultural Universities Act, 1983",LegalProvision,"Section 11 of the Maharashtra Agricultural Universities Act, 1983",PC_Family,pc,"Section 11 of the Maharashtra Agricultural Universities Act, 1983",,,,,,,,
PC::Wife Challenged Husband's Detention,CaseFact,Wife Challenged Husband's Detention,PC_Family,pc,Wife Challenged Husband's Detention,,,,,,,,
PC::Detention Order Issued Under Preventive Detention Act,LegalProvision,Detention Order Issued Under Preventive Detention Act,PC_Family,pc,Detention Order Issued Under Preventive Detention Act,,,,,,,,
PC::Detention Order Extended Beyond Legal Limit,LegalProvision,Detention Order Extended Beyond Legal Limit,PC_Family,pc,Detention Order Extended Beyond Legal Limit,,,,,,,,
PC::Article 22(4) of the Constitution of India,LegalProvision,Article 22(4) of the Constitution of India,PC_Family,pc,Article 22(4) of the Constitution of India,,,,,,,,
"PC::Section 3 of the Andhra Pradesh Prevention of Dangerous Activities of Bootleggers, Dacoits, Drug Offenders, Goondas, Immoral Traffic Offenders and Land Grabbers Act, 1986",LegalProvision,"Section 3 of the Andhra Pradesh Prevention of Dangerous Activities of Bootleggers, Dacoits, Drug Offenders, Goondas, Immoral Traffic Offenders and Land Grabbers Act, 1986",PC_Family,pc,"Section 3 of the Andhra Pradesh Prevention of Dangerous Activities of Bootleggers, Dacoits, Drug Offenders, Goondas, Immoral Traffic Offenders and Land Grabbers Act, 1986",,,,,,,,
PC::Government Order Prescribed Medium of Instruction,LegalProvision,Government Order Prescribed Medium of Instruction,PC_Family,pc,Government Order Prescribed Medium of Instruction,,,,,,,,
PC::Right to Choose Medium Implicit in Right to Education,CaseFact,Right to Choose Medium Implicit in Right to Education,PC_Family,pc,Right to Choose Medium Implicit in Right to Education,,,,,,,,
PC::High Court Found Government Order Violative of Fundamental Rights,LegalProvision,High Court Found Government Order Violative of Fundamental Rights,PC_Family,pc,High Court Found Government Order Violative of Fundamental Rights,,,,,,,,
PC::Article 19(1)(a) of the Constitution,LegalProvision,Article 19(1)(a) of the Constitution,PC_Family,pc,Article 19(1)(a) of the Constitution,,,,,,,,
PC::Article 30(1) of the Constitution,LegalProvision,Article 30(1) of the Constitution,PC_Family,pc,Article 30(1) of the Constitution,,,,,,,,
PC::Prosecutrix Alleged Rape,CaseFact,Prosecutrix Alleged Rape,PC_Family,pc,Prosecutrix Alleged Rape,,,,,,,,
PC::Medical Evidence Supported Prosecution,CaseFact,Medical Evidence Supported Prosecution,PC_Family,pc,Medical Evidence Supported Prosecution,,,,,,,,
PC::Accused Claimed False Implication,CaseFact,Accused Claimed False Implication,PC_Family,pc,Accused Claimed False Implication,,,,,,,,
PC::No External Injuries on Victim,CaseFact,No External Injuries on Victim,PC_Family,pc,No External Injuries on Victim,,,,,,,,
PC::Section 376 of IPC,LegalProvision,Section 376 of IPC,PC_Family,pc,Section 376 of IPC,,,,,,,,
"PC::Juvenile Justice (Care and Protection of Children) Act, 2000",LegalProvision,"Juvenile Justice (Care and Protection of Children) Act, 2000",PC_Family,pc,"Juvenile Justice (Care and Protection of Children) Act, 2000",,,,,,,,
PC::Suit for Declaration of Settlement Deeds,CaseFact,Suit for Declaration of Settlement Deeds,PC_Family,pc,Suit for Declaration of Settlement Deeds,,,,,,,,
PC::Suit Barred by Limitation,CaseFact,Suit Barred by Limitation,PC_Family,pc,Suit Barred by Limitation,,,,,,,,
PC::Preliminary Issue on Limitation Raised,CaseFact,Preliminary Issue on Limitation Raised,PC_Family,pc,Preliminary Issue on Limitation Raised,,,,,,,,
PC::Knowledge of Settlement Deeds Established in 1978,CaseFact,Knowledge of Settlement Deeds Established in 1978,PC_Family,pc,Knowledge of Settlement Deeds Established in 1978,,,,,,,,
PC::Trust Property Consideration,CaseFact,Trust Property Consideration,PC_Family,pc,Trust Property Consideration,,,,,,,,
PC::Section 10 of the Limitation Act,LegalProvision,Section 10 of the Limitation Act,PC_Family,pc,Section 10 of the Limitation Act,,,,,,,,
PC::Articles 56 to 59 of the Limitation Act,LegalProvision,Articles 56 to 59 of the Limitation Act,PC_Family,pc,Articles 56 to 59 of the Limitation Act,,,,,,,,
PC::Article 92 of the Limitation Act,LegalProvision,Article 92 of the Limitation Act,PC_Family,pc,Article 92 of the Limitation Act,,,,,,,,
PC::Article 96 of the Limitation Act,LegalProvision,Article 96 of the Limitation Act,PC_Family,pc,Article 96 of the Limitation Act,,,,,,,,
PC::Brothers Inherited Land from Father,CaseFact,Brothers Inherited Land from Father,PC_Family,pc,Brothers Inherited Land from Father,,,,,,,,
PC::Compensation for Acquired Land Enhanced,CaseFact,Compensation for Acquired Land Enhanced,PC_Family,pc,Compensation for Acquired Land Enhanced,,,,,,,,
PC::Interest on Compensation Taxability Disputed,CaseFact,Interest on Compensation Taxability Disputed,PC_Family,pc,Interest on Compensation Taxability Disputed,,,,,,,,
"PC::Section 45(5) of the Income Tax Act, 1961",LegalProvision,"Section 45(5) of the Income Tax Act, 1961",PC_Family,pc,"Section 45(5) of the Income Tax Act, 1961",,,,,,,,
