question,answer,chain_q,chain_a
"i have filed a criminal case section 354d.506,509,446 in 2016. Now i want to withdraw it. Please advise the step. This lodged as STATE versus accused name in patiala house court.( New Delhi, Delhi )","Dear Sir,If it is compoundable then it can be compromised otherwise you have to examine yourself and turn hostile or ask the accused to approach High Court where you can file an affidavit saying that you have no objection to close the criminal case.Please contact me through the administrators of this website.","[""HKG::MEPS_26"", ""HKG::MEPS_40"", ""HKG::PGA_7"", ""HKG::EPF_7D""]","[""PC::Petitioner Directed to Approach High Court First"", ""PC::No Objection to Arbitrator Raised by Appellants"", ""PC::Prosecution Case Found to Have No Merit"", ""HKG::EC_RULES_74""]"
"What should be done when opposite party is absent since starting in 498 , and 128( Beed, Maharashtra )","Dear Client,If the Opposite party does not appear at the hearing of criminal prosecution initiated under Sec.12 of PWDV Act even on receipt of summon of the Court, then the Court can issue a non-bailable warrant against the O P","[""HKG::EPF_6"", ""HKG::EPF_AT_2"", ""HKG::CCS_ME_3"", ""HKG::CCS_ME_5""]","[""HKG::GST_98"", ""HKG::EC_RULES_26"", ""PC::Prosecution Initiated Based on FIR"", ""HKG::EC_RULES_66""]"
"On Which Grounds Can ChargeSheet be Quashed in High Court.
In My Case Complainant  is Already Dead.( West Delhi, Delhi )","Dear ClientIn India, a charge sheet can be quashed in the High Court under certain circumstancesIf the court does not have the appropriate jurisdiction to hear the case, it may be a valid reason for quashing the charge sheet. If it can be demonstrated that the charge sheet was filed with malicious intent or as a means of harassment, it could be a basis for seeking its quashing. : If the charge sheet violates the fundamental rights of the accused, such as the right to privacy or the right against self-incrimination, it could be a valid ground for seeking its quashing.","[""HKG::PGA_7"", ""HKG::EPF_7D"", ""HKG::ESI_55"", ""HKG::IRC_44""]","[""PC::Charge-Sheet Filed Against Accused"", ""PC::Charge-Sheet Filed Against Appellant"", ""PC::Charge-Sheet Filed Against Respondent"", ""PC::Charge-Sheet Filed by Police""]"
"sir I am a victim of false 498a case, fir was registered in 8-9 sections but chargesheet in court presented with 2 sections, 498a and 406 and 6 bills of jewellery are in chargesheet. there is no other evidence in chargesheet and no recovery, only 6 bills of jewellery.
now my question is that can I present crpc 91 application in court and request the court to summon opposite party to bring their (income tax return, balance sheet) as they have alleged to spent 20 lacs cash in marriage.( Alwar, Rajasthan )",You can proceed with the applications.,"[""PC::Victim Identified in Court"", ""PC::FIR Filed for IPC Sections 406 and 498-A"", ""PC::Sections 406 and 420 of the Indian Penal Code"", ""PC::Evidence of False Implication Presented""]","[""PC::Permission Granted to Proceed with Suit"", ""PC::Trial Court to Proceed with Remaining Accused"", ""HKG::MHA_77"", ""HKG::ATA_19""]"
"Sir/madam....i hav filed residence under dv, but nw my husb filed divorce...i wish to save my marriage n i hav 4yr old kid...Can i stay in a seperate residence tat belongs to my inlaws,evn if my husband gets divorce?( Chennai, Tamil Nadu )","Dear Madam,After divorce such order may not survive but you may try for it.","[""HKG::IDA_12"", ""HKG::IRC_41"", ""HKG::IRC_42"", ""HKG::IRC_43""]","[""HKG::EC_RULES_29"", ""HKG::EC_RULES_66"", ""HKG::KSEA_5B"", ""PC::Court Found Jurisdiction to Try Conspiracy Offences""]"
"I was offered 2 acres of land in jejuri by Mr Steven Menezes , I payed full amount plus registration charges 
But when I went for 7/12 the land is in dispute what do I do( Mumbai suburban, Maharashtra )","Dear Client,The 7/12 extract is an important document needed for various financial and legal transactions pertaining to the land and is maintained by the land revenue department of the State of Maharashtra and Gujarat. The 7/12 Document is prepared by the Talathi and signed by the Tahasildar. In the given scenario, serving a strong legal notice, you can file a criminal suit against the Seller for criminal breach of trust and cheating under Section 316 and Section 318 of the Bharatiya Nyaya Sanhita(BNS) seeking damages/compensation. Apart, you can also file a money recovery suit against the Seller. Hire an experienced Advocate to navigate the issue in the right way.","[""PC::Arbitration Agreement in Dispute"", ""HKG::BTC_345"", ""PC::Partnership Firm Involved in Dispute"", ""HKG::BTC_1894""]","[""HKG::IPC_405"", ""HKG::IPC_406"", ""PC::Criminal Breach of Trust Alleged"", ""PC::Appellant Charged with Criminal Breach of Trust""]"
"My case is of Rs 156825, for which I had compromised with the party and appealed for queshing, but  denied high court for fir queshinh , now what should I do next?( Mumbai, Maharashtra )","Dear Client,When the case involves a compromise with the side of the opponent and the High Court denied the application to quash, it becomes essential to know the rationale behind such a decision. It is recommended to seek assistance from an attorney to provide more specific guidance and ensure the proper functioning in the legal field. That is why, if the decision of the High Court is not appropriate for You, You may file an appeal to the next higher court i.e., the Supreme Court. If unable to pay for it, free legal services can be sought under Legal Services Authorities Act, 1987 which is meant for the needy. Make sure to provide all witnesses and documents that support your position to avoid falling for traps. Free Legal Aid Act is related to the act regulating free legal services in India providing justice to the needy people economically.I hope this answer is sufficient to answer your query.","[""PC::Investigation Ordered for FIR Against Appellants"", ""PC::High Court Awarded Compensation of Rs.1,84,000"", ""PC::Employee Moved High Court for Appointment"", ""PC::Political Rivalry Alleged as Motivation for FIR""]","[""PC::State Failed to Provide Legal Aid to Poor"", ""HKG::MHA_27"", ""PC::High Court Dismissed Application to Quash Proceedings"", ""HKG::GST_118""]"
"What ipc sections can be attracted against the daughter in law if she is harassing her in laws, hurting them, causing them mental agony, torturing them under IPC( East Delhi, Delhi )","Dear client,If its a mental harassment you will immediately need to lodge a police compliant against her, send her a legal notice and then initiate legal proceedings against her.","[""PC::Accused Convicted Under IPC Sections"", ""HKG::HAMA_19"", ""PC::Appellants Convicted Under IPC Sections"", ""PC::FIR Filed Under IPC Sections""]","[""PC::Government Directed to Initiate Proceedings Against Police Officers"", ""PC::Legal Notice Sent for Payment"", ""PC::Legal Notice for Arbitration Sent"", ""PC::Long Delay in Legal Proceedings""]"
"I want to appear ""In Person"" in my 482 application pending before Allahabad High Court by removing my existing Junior Lawyer but want to retain my designated Senior Advocate. Can I do this? If yes, how? Is it necessary to remove both Junior and Senior Lawyer if I want to appear ""In Person"" in my case? Alternatively, can I appear along with both Junior and Senior Lawyer in my case? If yes, what should be done for this?( Allahabad, Uttar Pradesh )","Dear Client,Section 32 of the Advocate's Act 1961 states that the court may allow any person to appear before it even if he is not an Advocate. Therefore, one gets the statutory right to defend one's own case on appeal before the Court. In fact, with the leave of the Court, a non-advocate is still permitted to appear and represent his own case even without a local advocate. Accordingly, you can apply to the Court where the case is pending on the next date of hearing with a prayer to allow you to represent your own case.","[""PC::Respondent Required to Appear Before Authority"", ""PC::Appellant Failed to Appear for Hearing"", ""PC::Appellant Required to Appear for Interrogation"", ""PC::Section 9 Application Pending in High Court""]","[""PC::Section 32 of the Income-tax Act, 1961"", ""PC::Respondent Required to Appear Before Authority"", ""PC::Section 32 of the Income-tax Act"", ""PC::Section 32(1) of the Evidence Act""]"
"My driving licence criminal case any issue dl remark( Ramanagara, Karnataka )","Dear client,The license holder, upon expiry of the suspension period, must make an application to the licensing authority that issued or last renewed the license. After the application is submitted to the licensing authority, the driver must undergo and pass a fresh test of competence to drive.","[""PC::Tribunal Found Driving Licence Fake"", ""PC::Driving Licence Found to Be Fake"", ""PC::Renewal of Driving Licence Provisions Considered"", ""PC::Owner Failed to Prove Valid Driving Licence""]","[""HKG::KSEA_5A"", ""HKG::KSEA_2"", ""PC::Application for Liquor License Submitted"", ""HKG::FIN_A_117""]"
"My 85 years old grandmother is and living alone in the flat. We also stay sometimes wither. Also we have been fighting a court case against my the person who lured me to buy this and then have done a fraud of selling twice and showing the real owner of the house. Now it's been 3 years this person and family members keep harassing, threatening and use abuses language. Repeatedly I have lodged a complaint at the police station. Please do help in as he has threatened people who deliver vegetables to my house.( Mumbai, Maharashtra )","Dear client,Here are a few routes that you may consider while dealing with neighbor harassment:1.     Gather evidence- You may take photos and videos of what your neighbor might be doing.2.     Call the police- You may call 100 and call the police on your neighbor. The police can arrive at their house and investigate the matter. In many cases, the police can also confiscate items that may cause harassment to you, if any.3.     Do not engage- As difficult as it is, do not engage with your neighbor. You do not want any sort of evidence that shows that you yelled at your neighbor or undertook violent measures. It is very difficult to stay calm in such situations and you may think of losing your calm in the moment but it is not going to work in your favor.4.     File a complaint against them- You can file a complaint against your neighbor. Even though it may not always mean that the police are going to investigate the matter at once, it is recorded proof of your complaint against them.5.     You may file for a restraining order- You can definitely file for a restraining order against your neighbor, especially in matters like trespass and stalking. It is a temporary order by the court that prohibits any person from undertaking a particular action. It also prohibits a person from approaching and contacting someone.6.     Try settling the matter amicably- It is always for the best if you can settle the matter amicably with your neighbor as a harassment suit can be expensive and time-consuming as well. This also protects you from having animosity with your neighbor and maintaining civil relations.","[""HKG::IEA_90"", ""PC::Police Personnel Took Court Officers to Police Station"", ""PC::Family Members of Accused Involved"", ""HKG::FIN_A_187""]","[""HKG::EC_RULES_66"", ""HKG::EC_RULES_67"", ""PC::Respondent Filed Complaint Against Appellants"", ""PC::Authority to File Complaint Challenged""]"
"Hi we have worked with commqui technologies pvt ltd. the owner has not paid our dues for the month of february yet. he ignores our follow ups and answers whenever he wants . the owner said the client has denied paying commqui stating that we havnt worked for that month , however we did . everyday we are juggled by the owner yashesh sawalkar ( owner of commqui technologies and kalpatru site head Mr Imran . in all of this we have not recieved our salaries. please help us get our salaries. the company has sent us mail stating that we have been laid off and will be paid the dues of feb soon and now they claim that we never worked.( Mumbai, Maharashtra )","Dear client,From the content of your query it appears that your employer is involved in unfair labour practice.Reach out to concerned office of Labour Commissioner with your appointment letter and all other relevant papers that prove your complaint or the office of concerned Chief Inspector, Shops and Establishments if your Company comes under the purview of them for redressal of your grievance ASAP.Wish you all the best.","[""HKG::IDA_17B"", ""HKG::EPF_12"", ""HKG::ESI_72"", ""HKG::ISM_12""]","[""HKG::IRC_84"", ""HKG::SPE_5"", ""HKG::EC_RULES_66"", ""HKG::Delhi Shops and Establishments Act, 1954""]"
"No defence counsel permitted in GCM. Prosecution represented by qualified counsel( Jaipur, Rajasthan )","Dear client,No person can force him to appear guilty or ask him to prove himself guilty against his will. The accused have the right to defence counsel in case of General court-martial when the accused may face bad conduct discharge.","[""HKG::MEPS_26"", ""HKG::MEPS_40"", ""HKG::PGA_7"", ""HKG::EPF_7D""]","[""PC::General Court Martial Found Appellant Guilty"", ""PC::General Court Martial Convicted Appellant"", ""PC::Appellant Challenged General Court Martial Verdict"", ""PC::Petitioners Convicted and Sentenced by General Court Martial""]"
"I have joined in DAV Public School, Bistupur, Jamshedpur as a PGT Physics Teacher on 14th June, 2024 as per given offer letter (attached below) with the mentioned salary. But even after more than 80 days I have not been given any appointment letter or ID card from the school, salary is also not given as per mentioned salary. After joining of one month, principal maâam tried to provide me lower post, but I was not agreed with her because same post and salary had been offered from Odisha and I left that opportunity on the basis of this offer letter. On 3rd September, 2024 when I emailed to Principal maâam demanding my appointment letter, ID card and salary, she became aggressive and ousted me from the school without any written notice or explanation. Also I have been removed from all necessary Whatsapp groups of the school. Next day, on 4th September, 2024 I went to school on time (7:30AM), but guards were not permitting me to enter inside the school, saying that principal maâam and management is not giving me permission to enter into the school. I tried to contact to the other teachers and principal maâam, both by calling and messaging, but no reply has come from the school. I had been waiting there for 3 hours and then returned back to home. Again next day 5th September, 2024 (It was Teachersâ Day) I went to school as usual, but in front of the students and parents I was ousted me from the school gate again. I called to Bistupur Police Station helpline number to mention this issue, but they also behave aggressively and didnât do anything, saying that it is a public school and decision of allowing or not allowing inside the school is totally the choice of the principal (I have recorded the call also). Total incident is with me in video and audio recording format of those two days.

Then I have given one application mentioning these situations to Bistupur Police Station, but from them also no reply has come till today (24th September, 2024).

I have sent a legal notice mentioning all these to the Principal maâam, but no reply has come till now. I request you to do the needful as soon as possible so that I can continue my teaching profession in the same school with full efficiency. I am totally confused what to do now, as a teacher if my respect is outside the school gate then how a teacher can lead our society for betterment.

I need suggestions from you sir, what to do now?

Thanks and Regards.

1. Attendance register (for joining date)
2. Soft copy of id card from school 
3. Bank statement (for not giving proper salary)
4. Advertisement (for requirement of PGT physics teacher in 2024-25)
5. WhatsApp (removal from each group) 
6. Google map timeline (for getting the time of approach to the school on 4th and 5th September)
7. Offer letter of Bistupur.
8. Offer letter from Odisha.( Jamshedpur, Jharkhand )","Dear Madam,Such highhandedness is in practice In many of the public schools and the remedy lies if your approach the concerned government Higher educational Officers and the Ministry of education to teach them a lesson. But it may cost your bright future. Think twice before taking aggressive action against such rude Principal.","[""HKG::SCST_A_19"", ""HKG::RPSR_2"", ""HKG::RPSR_3"", ""HKG::RPSR_156B""]","[""PC::High Court Directed Action Against Appellant"", ""HKG::BTC_280"", ""HKG::CCS_FS_8"", ""PC::Rule 1 of the Ministry of Defence Recruitment of Stenographer, Grade III Rules""]"
"I have been in a relationship with a guy since last January. Our families also known to each other. But on 24th December he left from his place with his mother. Since then he has blocked me.. from all the sources and also my parents and friends contacts.His father has no idea about our matter. Before he left we had a argument and his mother interfered there and she even asked me to commit suicide. He promised me for marriage and did everything. What should i do?( Hooghly, West Bengal )","You have a difficult case that is all is well that stick to gether, if not it will end, if you wanted you can file a case through a LAWYER FROM THIS PANEL , better to start a new life in this new year with good understanding & well being.","[""HKG::MHA_115"", ""PC::Parties Related to Each Other"", ""PC::Witness Relationship with Deceased Considered"", ""PC::Accused Promised Marriage""]","[""PC::Appellant Sought Permission to Start New School"", ""PC::Pension Arrears to Start from 1.1.1988"", ""HKG::EC_RULES_67"", ""HKG::EC_RULES_74""]"
"Please help sir, I am in a big trouble. Sir, a girl who was minor met me in a wedding. She sent me request on instagram and kept asking me to get into relationship. Initially, I was avoiding her but After a period, I also said yes but I didn't know her age at that time as she lied about it(Her actual age was16 then). So, then one day she asked me to pick her up and we roamed in my car. She wanted to stay the night with me in hotel. But, since my parents don't allow me to stay anywhere for the night, so I couldn't accept her proposal. Then she told me to drop at her some sister's place which I did. I later found out she was not informing her parents about the night out. So her parents somehow got my contact and suspected her to be with me. Her phone was off meanwhile. And, I did tell her parents about her whereabout. Her parents then found her the next day in a boys room( which earlier she told me to be her some sister's room). But, then the girl took U turn and blamed everything on me for raping her on the pretext of marriage and abandoning her on the road. The boy who she stayed with was released as she blamed me and told police that the boy saved and gave shelter for the night to her as she was abandoned on the road. I was sent to jail for 2 months in POCSO case and then got bail. Now, the scene is that she is asking me an iPhone to settle the case in court(she's ready to give a statement supporting me) . She is saying that she would convince her parents to settle the case after she gets the phone. I am willing to meet her demand but I can't trust her. Can you suggest something that I can get rid of the case even if I have to give her the iphone ( I have already bought it and it is with me ). How can I make sure that she will be doing what she is saying. Also, to be noted that she has already given her statement once against me in the court already. Can I somehow prove in the court that she is blackmailing me to get a phone to settle the fake case. Please, reply .( Guwahati, Assam )","Dear Sir,If any FIR is registered against you then you must challenge the same for quashing before High court. You must take the defense that you do not know the her age and all other allegations are false.","[""HKG::IEA_114B"", ""PC::Respondents Willing to Settle Disputed Interest"", ""PC::Agreement to Settle Litigation"", ""HKG::EC_RULES_68""]","[""PC::FIR Registered Against Respondent"", ""PC::FIR Pending for Quashing"", ""PC::Appellants Filed for Quashing FIR"", ""PC::Application for Quashing Dismissed""]"
"Is it a domestic violence case? In sec. 498a Or 352( Kolkata, West Bengal )","Dear Client,Domestic violence in India is covered under several laws, primarily under the Protection of Women from Domestic Violence Act, 2005 (PWDVA), and the Indian Penal Code (IPC). Section 498A and Section 352 of the IPC address specific aspects of domestic violence.Understanding the Sections:Section 498A IPC:Objective: To protect married women from cruelty by their husbands and in-laws.Definition: It covers any willful conduct that is likely to drive a woman to suicide or cause grave injury to her life, limb, or health (whether mental or physical). It also includes harassment with the aim of coercing her or her relatives to meet any unlawful demand for property or valuable security.Punishment: Imprisonment for up to three years and a fine.Section 352 IPC:Objective: To address assault or use of criminal force otherwise than on grave provocation.Definition: It penalizes the act of assault or use of criminal force against any person without grave and sudden provocation by that person.Punishment: Imprisonment for up to three months, or a fine of up to five hundred rupees, or both.Determining the Applicability:Section 498A: If the case involves a married woman being subjected to cruelty by her husband or in-laws, particularly with respect to harassment for dowry or inflicting harm that could cause serious mental or physical trauma, then it falls under Section 498A.Section 352: If the situation involves an incident where assault or use of criminal force occurred without grave provocation but does not fit the specific criteria of cruelty in a matrimonial context as described in Section 498A, it might fall under Section 352.","[""HKG::PGA_7"", ""HKG::EPF_7D"", ""HKG::ESI_55"", ""HKG::IRC_44""]","[""PC::Grave and Sudden Provocation Alleged"", ""PC::Allegation of Cruelty by Husband"", ""HKG::IPC_354"", ""PC::Need for Police Sensitization Against Domestic Violence""]"
"Owner of a company has been arrested by the Telangana police under 420 a month ago but Haryana police took his custody today on production warrent by saying same case has been registered by us in Haryana and Telangana court has accepted their application of Production Warrent but the advocate of accused has told me that Telangana court has granted him bail ........but my sources saying accused is been taken on production warrent.....so that I am confused the accused got bail or not ?( Hyderabad, Telangana )","For details, pl. contact some advocate through vidhikarya.com","[""PC::Accused Has Criminal History"", ""HKG::IEA_135"", ""PC::Accused Granted Bail by High Court"", ""PC::Requirement of Production of Declaration Challenged""]","[""PC::Deputy Government Advocate Authorized to Act"", ""PC::Petitioner Claimed Right to Enroll as Advocate"", ""PC::Number-Appearance of Advocate Not Intentional"", ""PC::Advocate Enrolled in Chief Court of Sind""]"
"Hi,
Recently we closed a case by compromise with my aunt's family and had give sketch of the parts given to them in the agriculture land to the court and my aunt's family got the sketch prepared by govt surveyor and got the lands transferred to their name. But now I found my aunt's family has forged my sign in the survey sketch document and got the sketch changed and it is not same as what we have agreed upon in court. I plan to lodge a police complaint for forgery but I have few questions here:
1. Will I be responsible for providing all required evidence after filing complaint.?
2. Will I be responsible for hiring a lawyer to fight this case in court or will a PP be appearing for me.?
3. If my aunt's family wants to compromise with us to withdraw the case will I be able to close the case?( Ramanagara, Karnataka )","Dear Sir,It is not so easy to convince the Police to register your complaint unless you get report from the private handwriting expert that forged signature of yourself was misused by your Aunt. Get such report and approach Police or file a private complaint.","[""HKG::BTC_126"", ""HKG::BTC_313"", ""HKG::BTC_254"", ""PC::Court Found Will to be Forged""]","[""PC::Private Complaint Filed Against Additional Accused"", ""PC::Evidence of Handwriting Expert Considered"", ""PC::High Court Ordered Retrial for Handwriting Expert Evidence"", ""PC::Section 7 of the Police Act, 1861""]"
"FIR lodge under section 420/406. only against my brother. But in charge sheet police added section 174{A} , 120 (b) and chit fund act. Police apprehended my brother on 10 Oct 2017 and charge sheet filed on 13 Dec 2017 after 60 days and in main charge sheet no any witness mentioned name of his wife and my father. Antricipatary bail of Wife of my bother rejected on 28 feb 2018. She surrendered on 13 march 2018 and my father surrendered on 09 april 2018. Supplementary CS submitted by Police on 10 May 2018 just before completion of 60 days. Accordingly bail of 167(2) rejected. Thereafter 2 bail application application rejected by CMM and ASJ. Now bail application is in pending with high court in which IO submitted that more application is being received hence enquiry is pending therefore opposed bail application. All 03 pers are on Jail since mentioned above. Request intimate what I can do.( South West Delhi, Delhi )","YOU CAN APPEAL IN HIGH COURT . For details, pl. contact some advocate through vidhikarya.com","[""HKG::ATA_19""]","[""PC::High Court Dismissed Appeal in Limine"", ""PC::First Appeal Pending in High Court"", ""PC::Writ Petition Filed in High Court"", ""PC::Assessment Challenged in High Court""]"
