question,answer,chain_q,chain_q_types,chain_q_edges,chain_q_len,chain_a,chain_a_types,chain_a_edges,chain_a_len
"i have filed a criminal case section 354d.506,509,446 in 2016. Now i want to withdraw it. Please advise the step. This lodged as STATE versus accused name in patiala house court.( New Delhi, Delhi )","if any settlement has been arrived between you and the accused, then the FIR can be quashed,contact me for a detailed understanding","[""Section 354D of IPC"", ""Breach of privacy due to sharing of personal content""]","[""rule"", ""fact""]","[""Violates""]",2,"[""User believes the FIR can be quashed based on non-compliance with procedural requirements under Section 154"", ""Section 154 of CrPC""]","[""fact"", ""rule""]","[""Violates""]",2
"What should be done when opposite party is absent since starting in 498 , and 128( Beed, Maharashtra )","Dear Client,If the Opposite party does not appear at the hearing of criminal prosecution initiated under Sec.12 of PWDV Act even on receipt of summon of the Court, then the Court can issue a non-bailable warrant against the O P","[""Opposite party is ready for compromise""]","[""fact""]",[],1,"[""Non-bailable warrant issued against the user"", ""User was working in a company involved in fraud""]","[""fact"", ""fact""]","[""Depends On""]",2
"On Which Grounds Can ChargeSheet be Quashed in High Court.
In My Case Complainant  is Already Dead.( West Delhi, Delhi )","Dear ClientIn India, a charge sheet can be quashed in the High Court under certain circumstancesIf the court does not have the appropriate jurisdiction to hear the case, it may be a valid reason for quashing the charge sheet. If it can be demonstrated that the charge sheet was filed with malicious intent or as a means of harassment, it could be a basis for seeking its quashing. : If the charge sheet violates the fundamental rights of the accused, such as the right to privacy or the right against self-incrimination, it could be a valid ground for seeking its quashing.","[""Pending Chargesheet in High Court"", ""Fear of Arrest""]","[""fact"", ""fact""]","[""Depends On""]",2,"[""Double complaints for the same offence could be quashed by the high court"", ""Need to file a police complaint against an accused with an existing complaint""]","[""fact"", ""fact""]","[""Depends On""]",2
"sir I am a victim of false 498a case, fir was registered in 8-9 sections but chargesheet in court presented with 2 sections, 498a and 406 and 6 bills of jewellery are in chargesheet. there is no other evidence in chargesheet and no recovery, only 6 bills of jewellery.
now my question is that can I present crpc 91 application in court and request the court to summon opposite party to bring their (income tax return, balance sheet) as they have alleged to spent 20 lacs cash in marriage.( Alwar, Rajasthan )","Hi,Yes, you can make such an application.If the case is false, you can apply to the high Court to quash it under Section 482 CrPC.The person making such claims can be punished under Section 209 IPC.If you found this helpful, please rate us.","[""False Application in Court"", ""Contempt of Court""]","[""fact"", ""rule""]","[""Violates""]",2,"[""apply to the Supreme Court"", ""User father is in custody""]","[""fact"", ""fact""]","[""Complies With""]",2
"Sir/madam....i hav filed residence under dv, but nw my husb filed divorce...i wish to save my marriage n i hav 4yr old kid...Can i stay in a seperate residence tat belongs to my inlaws,evn if my husband gets divorce?( Chennai, Tamil Nadu )","Dear Madam,After divorce such order may not survive but you may try for it.","[""User filed divorce petition due to family disputes"", ""User transferred money to wife for her uncle's work""]","[""fact"", ""fact""]","[""Depends On""]",2,"[""Blackmailing for marriage after divorce"", ""No rights to claim anything without legal divorce""]","[""fact"", ""fact""]","[""Depends On""]",2
"I was offered 2 acres of land in jejuri by Mr Steven Menezes , I payed full amount plus registration charges 
But when I went for 7/12 the land is in dispute what do I do( Mumbai suburban, Maharashtra )","Dear Client,The 7/12 extract is an important document needed for various financial and legal transactions pertaining to the land and is maintained by the land revenue department of the State of Maharashtra and Gujarat. The 7/12 Document is prepared by the Talathi and signed by the Tahasildar. In the given scenario, serving a strong legal notice, you can file a criminal suit against the Seller for criminal breach of trust and cheating under Section 316 and Section 318 of the Bharatiya Nyaya Sanhita(BNS) seeking damages/compensation. Apart, you can also file a money recovery suit against the Seller. Hire an experienced Advocate to navigate the issue in the right way.","[""Illegal Inclusion of Land in Passbook"", ""Filing of Complaints with Authorities""]","[""fact"", ""fact""]","[""Depends On""]",2,"[""Section 318 of the Bharatiya Nyaya Sanhita (BNS)"", ""Failure to repay borrowed amount""]","[""rule"", ""fact""]","[""Violates""]",2
"My case is of Rs 156825, for which I had compromised with the party and appealed for queshing, but  denied high court for fir queshinh , now what should I do next?( Mumbai, Maharashtra )","Dear Client,When the case involves a compromise with the side of the opponent and the High Court denied the application to quash, it becomes essential to know the rationale behind such a decision. It is recommended to seek assistance from an attorney to provide more specific guidance and ensure the proper functioning in the legal field. That is why, if the decision of the High Court is not appropriate for You, You may file an appeal to the next higher court i.e., the Supreme Court. If unable to pay for it, free legal services can be sought under Legal Services Authorities Act, 1987 which is meant for the needy. Make sure to provide all witnesses and documents that support your position to avoid falling for traps. Free Legal Aid Act is related to the act regulating free legal services in India providing justice to the needy people economically.I hope this answer is sufficient to answer your query.","[""User is moving to High Court for AB""]","[""fact""]",[],1,"[""Legal Services Authorities Act, 1987"", ""Need for free legal aid before lodging FIR""]","[""rule"", ""fact""]","[""Complies With""]",2
"What ipc sections can be attracted against the daughter in law if she is harassing her in laws, hurting them, causing them mental agony, torturing them under IPC( East Delhi, Delhi )","Dear client,If its a mental harassment you will immediately need to lodge a police compliant against her, send her a legal notice and then initiate legal proceedings against her.","[""Suicide due to harassment by daughter-in-law"", ""Section 306 of IPC""]","[""fact"", ""rule""]","[""Violates""]",2,"[""ACB can initiate legal proceedings against private individuals without employer sanction"", ""Prevention of Corruption Act, 1988""]","[""fact"", ""rule""]","[""Complies With""]",2
"I want to appear ""In Person"" in my 482 application pending before Allahabad High Court by removing my existing Junior Lawyer but want to retain my designated Senior Advocate. Can I do this? If yes, how? Is it necessary to remove both Junior and Senior Lawyer if I want to appear ""In Person"" in my case? Alternatively, can I appear along with both Junior and Senior Lawyer in my case? If yes, what should be done for this?( Allahabad, Uttar Pradesh )","Dear Client,Section 32 of the Advocate's Act 1961 states that the court may allow any person to appear before it even if he is not an Advocate. Therefore, one gets the statutory right to defend one's own case on appeal before the Court. In fact, with the leave of the Court, a non-advocate is still permitted to appear and represent his own case even without a local advocate. Accordingly, you can apply to the Court where the case is pending on the next date of hearing with a prayer to allow you to represent your own case.","[""User received a notice to appear in court"", ""User lodged an FIR for purse snatching""]","[""fact"", ""fact""]","[""Depends On""]",2,"[""Section 32 of the Advocates Act, 1961"", ""Need for legal representation for sister in court proceedings""]","[""rule"", ""fact""]","[""Complies With""]",2
"My driving licence criminal case any issue dl remark( Ramanagara, Karnataka )","Dear client,The license holder, upon expiry of the suspension period, must make an application to the licensing authority that issued or last renewed the license. After the application is submitted to the licensing authority, the driver must undergo and pass a fresh test of competence to drive.","[""Forgot to carry original driving licence"", ""Section 185 of Motor Vehicle Act""]","[""fact"", ""rule""]","[""Violates""]",2,"[""Harassment by previous license holder"", ""Section 154 of CrPC""]","[""fact"", ""rule""]","[""Violates""]",2
"My 85 years old grandmother is and living alone in the flat. We also stay sometimes wither. Also we have been fighting a court case against my the person who lured me to buy this and then have done a fraud of selling twice and showing the real owner of the house. Now it's been 3 years this person and family members keep harassing, threatening and use abuses language. Repeatedly I have lodged a complaint at the police station. Please do help in as he has threatened people who deliver vegetables to my house.( Mumbai, Maharashtra )","Dear client,Here are a few routes that you may consider while dealing with neighbor harassment:1.     Gather evidence- You may take photos and videos of what your neighbor might be doing.2.     Call the police- You may call 100 and call the police on your neighbor. The police can arrive at their house and investigate the matter. In many cases, the police can also confiscate items that may cause harassment to you, if any.3.     Do not engage- As difficult as it is, do not engage with your neighbor. You do not want any sort of evidence that shows that you yelled at your neighbor or undertook violent measures. It is very difficult to stay calm in such situations and you may think of losing your calm in the moment but it is not going to work in your favor.4.     File a complaint against them- You can file a complaint against your neighbor. Even though it may not always mean that the police are going to investigate the matter at once, it is recorded proof of your complaint against them.5.     You may file for a restraining order- You can definitely file for a restraining order against your neighbor, especially in matters like trespass and stalking. It is a temporary order by the court that prohibits any person from undertaking a particular action. It also prohibits a person from approaching and contacting someone.6.     Try settling the matter amicably- It is always for the best if you can settle the matter amicably with your neighbor as a harassment suit can be expensive and time-consuming as well. This also protects you from having animosity with your neighbor and maintaining civil relations.","[""Bike has been at the police station for more than a week""]","[""fact""]",[],1,"[""Lodge a complaint against them"", ""Abusive language by neighbor""]","[""fact"", ""fact""]","[""Depends On""]",2
"Hi we have worked with commqui technologies pvt ltd. the owner has not paid our dues for the month of february yet. he ignores our follow ups and answers whenever he wants . the owner said the client has denied paying commqui stating that we havnt worked for that month , however we did . everyday we are juggled by the owner yashesh sawalkar ( owner of commqui technologies and kalpatru site head Mr Imran . in all of this we have not recieved our salaries. please help us get our salaries. the company has sent us mail stating that we have been laid off and will be paid the dues of feb soon and now they claim that we never worked.( Mumbai, Maharashtra )","Dear client,From the content of your query it appears that your employer is involved in unfair labour practice.Reach out to concerned office of Labour Commissioner with your appointment letter and all other relevant papers that prove your complaint or the office of concerned Chief Inspector, Shops and Establishments if your Company comes under the purview of them for redressal of your grievance ASAP.Wish you all the best.","[""Legal action taken against the owner of the medical shop"", ""Section 420 of IPC""]","[""fact"", ""rule""]","[""Violates""]",2,"[""User is involved in a criminal case"", ""User wants to refresh memory about allegations during cross-examination""]","[""fact"", ""fact""]","[""Depends On""]",2
"No defence counsel permitted in GCM. Prosecution represented by qualified counsel( Jaipur, Rajasthan )","Dear client,No person can force him to appear guilty or ask him to prove himself guilty against his will. The accused have the right to defence counsel in case of General court-martial when the accused may face bad conduct discharge.","[""No representation from petitioner's counsel"", ""Adjournment of court proceedings to next date""]","[""fact"", ""fact""]","[""Depends On""]",2,"[""Section 6 of the Right to Information Act, 2005"", ""Aggression in fields by adjacent farmer""]","[""rule"", ""fact""]","[""Complies With""]",2
"I have joined in DAV Public School, Bistupur, Jamshedpur as a PGT Physics Teacher on 14th June, 2024 as per given offer letter (attached below) with the mentioned salary. But even after more than 80 days I have not been given any appointment letter or ID card from the school, salary is also not given as per mentioned salary. After joining of one month, principal maâam tried to provide me lower post, but I was not agreed with her because same post and salary had been offered from Odisha and I left that opportunity on the basis of this offer letter. On 3rd September, 2024 when I emailed to Principal maâam demanding my appointment letter, ID card and salary, she became aggressive and ousted me from the school without any written notice or explanation. Also I have been removed from all necessary Whatsapp groups of the school. Next day, on 4th September, 2024 I went to school on time (7:30AM), but guards were not permitting me to enter inside the school, saying that principal maâam and management is not giving me permission to enter into the school. I tried to contact to the other teachers and principal maâam, both by calling and messaging, but no reply has come from the school. I had been waiting there for 3 hours and then returned back to home. Again next day 5th September, 2024 (It was Teachersâ Day) I went to school as usual, but in front of the students and parents I was ousted me from the school gate again. I called to Bistupur Police Station helpline number to mention this issue, but they also behave aggressively and didnât do anything, saying that it is a public school and decision of allowing or not allowing inside the school is totally the choice of the principal (I have recorded the call also). Total incident is with me in video and audio recording format of those two days.

Then I have given one application mentioning these situations to Bistupur Police Station, but from them also no reply has come till today (24th September, 2024).

I have sent a legal notice mentioning all these to the Principal maâam, but no reply has come till now. I request you to do the needful as soon as possible so that I can continue my teaching profession in the same school with full efficiency. I am totally confused what to do now, as a teacher if my respect is outside the school gate then how a teacher can lead our society for betterment.

I need suggestions from you sir, what to do now?

Thanks and Regards.

1. Attendance register (for joining date)
2. Soft copy of id card from school 
3. Bank statement (for not giving proper salary)
4. Advertisement (for requirement of PGT physics teacher in 2024-25)
5. WhatsApp (removal from each group) 
6. Google map timeline (for getting the time of approach to the school on 4th and 5th September)
7. Offer letter of Bistupur.
8. Offer letter from Odisha.( Jamshedpur, Jharkhand )","Dear Madam,Such highhandedness is in practice In many of the public schools and the remedy lies if your approach the concerned government Higher educational Officers and the Ministry of education to teach them a lesson. But it may cost your bright future. Think twice before taking aggressive action against such rude Principal.","[""Fraudulent job offer letter"", ""Payment made for fake job offer""]","[""fact"", ""fact""]","[""Depends On""]",2,"[""User may immediately approach High Court challenging such sanction"", ""Section 7 of Prevention of Corruption Act""]","[""fact"", ""rule""]","[""Complies With""]",2
"I have been in a relationship with a guy since last January. Our families also known to each other. But on 24th December he left from his place with his mother. Since then he has blocked me.. from all the sources and also my parents and friends contacts.His father has no idea about our matter. Before he left we had a argument and his mother interfered there and she even asked me to commit suicide. He promised me for marriage and did everything. What should i do?( Hooghly, West Bengal )","Dear Madam,Since you were in a live in relationship presumably you know his whereabouts.There are two options.Option 1. Forget it. Start a fresh.Option 2. Fight it out. So that he will not spoil the life of another girl/lady.The choice is yours.Shanti Ranjan BeheraAdvocate","[""Instigation to commit suicide"", ""Potential legal action against instigator of suicide""]","[""fact"", ""fact""]","[""Depends On""]",2,"[""Cheating in a relationship"", ""Filing of FIR against boyfriend""]","[""fact"", ""fact""]","[""Depends On""]",2
"Please help sir, I am in a big trouble. Sir, a girl who was minor met me in a wedding. She sent me request on instagram and kept asking me to get into relationship. Initially, I was avoiding her but After a period, I also said yes but I didn't know her age at that time as she lied about it(Her actual age was16 then). So, then one day she asked me to pick her up and we roamed in my car. She wanted to stay the night with me in hotel. But, since my parents don't allow me to stay anywhere for the night, so I couldn't accept her proposal. Then she told me to drop at her some sister's place which I did. I later found out she was not informing her parents about the night out. So her parents somehow got my contact and suspected her to be with me. Her phone was off meanwhile. And, I did tell her parents about her whereabout. Her parents then found her the next day in a boys room( which earlier she told me to be her some sister's room). But, then the girl took U turn and blamed everything on me for raping her on the pretext of marriage and abandoning her on the road. The boy who she stayed with was released as she blamed me and told police that the boy saved and gave shelter for the night to her as she was abandoned on the road. I was sent to jail for 2 months in POCSO case and then got bail. Now, the scene is that she is asking me an iPhone to settle the case in court(she's ready to give a statement supporting me) . She is saying that she would convince her parents to settle the case after she gets the phone. I am willing to meet her demand but I can't trust her. Can you suggest something that I can get rid of the case even if I have to give her the iphone ( I have already bought it and it is with me ). How can I make sure that she will be doing what she is saying. Also, to be noted that she has already given her statement once against me in the court already. Can I somehow prove in the court that she is blackmailing me to get a phone to settle the fake case. Please, reply .( Guwahati, Assam )","Dear Sir,If any FIR is registered against you then you must challenge the same for quashing before High court. You must take the defense that you do not know the her age and all other allegations are false.","[""User wants to settle the case"", ""Section 154 of CrPC""]","[""fact"", ""rule""]","[""Complies With""]",2,"[""User does not know any lawyer in that city"", ""Section 438 of CrPC""]","[""fact"", ""rule""]","[""Complies With""]",2
"Is it a domestic violence case? In sec. 498a Or 352( Kolkata, West Bengal )","Dear Client,Domestic violence in India is covered under several laws, primarily under the Protection of Women from Domestic Violence Act, 2005 (PWDVA), and the Indian Penal Code (IPC). Section 498A and Section 352 of the IPC address specific aspects of domestic violence.Understanding the Sections:Section 498A IPC:Objective: To protect married women from cruelty by their husbands and in-laws.Definition: It covers any willful conduct that is likely to drive a woman to suicide or cause grave injury to her life, limb, or health (whether mental or physical). It also includes harassment with the aim of coercing her or her relatives to meet any unlawful demand for property or valuable security.Punishment: Imprisonment for up to three years and a fine.Section 352 IPC:Objective: To address assault or use of criminal force otherwise than on grave provocation.Definition: It penalizes the act of assault or use of criminal force against any person without grave and sudden provocation by that person.Punishment: Imprisonment for up to three months, or a fine of up to five hundred rupees, or both.Determining the Applicability:Section 498A: If the case involves a married woman being subjected to cruelty by her husband or in-laws, particularly with respect to harassment for dowry or inflicting harm that could cause serious mental or physical trauma, then it falls under Section 498A.Section 352: If the situation involves an incident where assault or use of criminal force occurred without grave provocation but does not fit the specific criteria of cruelty in a matrimonial context as described in Section 498A, it might fall under Section 352.","[""Filing of domestic violence case"", ""Section 12 of Protection of Women from Domestic Violence Act, 2005"", ""Section 23 of Protection of Women from Domestic Violence Act, 2005""]","[""fact"", ""rule"", ""rule""]","[""Complies With"", ""None""]",3,"[""Assault or use of criminal force against a woman"", ""Section 74 of Bharatiya Naya Sanhita (BNS), 2023""]","[""fact"", ""rule""]","[""Violates""]",2
"Owner of a company has been arrested by the Telangana police under 420 a month ago but Haryana police took his custody today on production warrent by saying same case has been registered by us in Haryana and Telangana court has accepted their application of Production Warrent but the advocate of accused has told me that Telangana court has granted him bail ........but my sources saying accused is been taken on production warrent.....so that I am confused the accused got bail or not ?( Hyderabad, Telangana )",I am from Telangana.,"[""Accused has been arrested and granted police bail"", ""Anticipatory bail application filed by accused in high court""]","[""fact"", ""fact""]","[""Depends On""]",2,"[""Money Lending Act of Telangana"", ""Excessive interest charged by money lender""]","[""rule"", ""fact""]","[""Violates""]",2
"Hi,
Recently we closed a case by compromise with my aunt's family and had give sketch of the parts given to them in the agriculture land to the court and my aunt's family got the sketch prepared by govt surveyor and got the lands transferred to their name. But now I found my aunt's family has forged my sign in the survey sketch document and got the sketch changed and it is not same as what we have agreed upon in court. I plan to lodge a police complaint for forgery but I have few questions here:
1. Will I be responsible for providing all required evidence after filing complaint.?
2. Will I be responsible for hiring a lawyer to fight this case in court or will a PP be appearing for me.?
3. If my aunt's family wants to compromise with us to withdraw the case will I be able to close the case?( Ramanagara, Karnataka )","Dear Sir,It is not so easy to convince the Police to register your complaint unless you get report from the private handwriting expert that forged signature of yourself was misused by your Aunt. Get such report and approach Police or file a private complaint.","[""Criminal case will be closed as abated"", ""Accused person is deceased""]","[""fact"", ""fact""]","[""Depends On""]",2,"[""Private handwriting expert report indicates forgery""]","[""fact""]",[],1
"FIR lodge under section 420/406. only against my brother. But in charge sheet police added section 174{A} , 120 (b) and chit fund act. Police apprehended my brother on 10 Oct 2017 and charge sheet filed on 13 Dec 2017 after 60 days and in main charge sheet no any witness mentioned name of his wife and my father. Antricipatary bail of Wife of my bother rejected on 28 feb 2018. She surrendered on 13 march 2018 and my father surrendered on 09 april 2018. Supplementary CS submitted by Police on 10 May 2018 just before completion of 60 days. Accordingly bail of 167(2) rejected. Thereafter 2 bail application application rejected by CMM and ASJ. Now bail application is in pending with high court in which IO submitted that more application is being received hence enquiry is pending therefore opposed bail application. All 03 pers are on Jail since mentioned above. Request intimate what I can do.( South West Delhi, Delhi )",Bail in such type of financial offences is granted by the higher courts.High court will grant Bail.,"[""Bail application is pending in session court"", ""Charge sheet has been filed""]","[""fact"", ""fact""]","[""Depends On""]",2,"[""Need for legal drafting assistance for petition filing in higher courts""]","[""fact""]",[],1
"I want to go for FIR and Chargesheet quashing both in my 482 application pending before the Allahabad High Court after a stay of the same as the complaint belongs to repealed Section 66A of the Information Technology Act, 2000. However, these prayers were not specifically mentioned in my revision petition under 482 as it was dismissed by lower Courts. Can I pray the same in my final arguments or I should amend/add my prayer by an application in this regard separately in the High Court?( Allahabad, Uttar Pradesh )","Dear Client,In your final arguments before the Allahabad High Court, you can certainly bring up the issue of quashing the FIR and chargesheet based on the repealed Section 66A of the Information Technology Act, 2000. While it would have been ideal to explicitly mention these prayers in your initial petition, you can still address them during the final arguments. It's crucial to emphasize the legal grounds and provide reasoning for seeking quashing. If you feel the need to make it more formal, you may consider filing a separate application to amend or add these prayers, ensuring clarity and precision. Reference relevant sections of the Criminal Procedure Code (CrPC), such as Section 482, to support your request for quashing.Thankyou","[""Section 66A of the Information Technology Act"", ""Inquiry about monetary fine for seeking bail acquittance""]","[""rule"", ""fact""]","[""Complies With""]",2,"[""Section 66A of the Information Technology Act"", ""Inquiry about monetary fine for seeking bail acquittance""]","[""rule"", ""fact""]","[""Complies With""]",2
"Sir/madam.    I was caught in drink and drive 10 days before and police taken my RC and DL and told to pay 10000 fine through virtual court website. But if I put challan no or mobile no it is telling challan not exist. What I have to do and what is the time time limit for closing the challan pls tell the procedure of this case in chennai( Chennai, Tamil Nadu )",Dear SirYou may approach local advocate and get the fine the paid through him and there will be no consequence on your future career .Please give me RANK FIVE(5) if my answer  satisfies you,"[""Time limit for filing appeal is 90 days"", ""Filing of appeal in murder case""]","[""fact"", ""fact""]","[""Depends On""]",2,"[""Criminal case will be closed as abated"", ""Accused person is deceased""]","[""fact"", ""fact""]","[""Depends On""]",2
