question,answer,chain_q,chain_q_types,chain_q_edges,chain_q_len,chain_a,chain_a_types,chain_a_edges,chain_a_len
"Are we able to claim compensation Salary in private sector if company terminate employee's service poor performance basis. and even if employee signed out agreement which states that company is not liable to make any payment if termination is based on cause i.e non performance.( Nagpur, Maharashtra )",1. Send a legal notice [if they do not comply then]2. You may file a suit in the civil court OR3. You may also file a complaint before the labour commissioner.ThanksShreyash Mohta,"[""Application process for maternity leave in private sector"", ""Maternity Benefit Act, 1961""]","[""fact"", ""rule""]","[""Complies With""]",2,"[""Send a legal notice"", ""Salary hold due to forced termination from employment""]","[""fact"", ""fact""]","[""Depends On""]",2
"Hi Sir,
I was working for a company for 5 years. Client withdrawn the work, so company had given notice for 2 months verbally, and asked us to leave. Company is paying Severance to level 1,2,and 3 employee, however not ready to pay severance to level 4 and above, as saying this is company policy to not to pay at higher level.

Need to understand, can company give verbal notice instead of written to leave the company, where there is no resignation given by employee?

Can a company discriminate among the employee based on their level in the organization, while both the level employee losing the job?

Please guide me.( Bangalore, Karnataka )",Dear SirYou can raise the issue with Labor Commissioner under section 12 of I D Act,"[""Employee wishes to leave the job but is concerned about loan repayment responsibility"", ""No specific legal obligation for employer to repay employee loan""]","[""fact"", ""rule""]","[""Violates""]",2,"[""Labor Commissioner"", ""Resignation obtained under pressure from management""]","[""rule"", ""fact""]","[""Complies With""]",2
"Six years ago, I joined in an MNC and in Appointment letter they mentioned Retention bonus of 1lac which they will pay end of second year that needed to repay if I leave before 5 years of service in that group. I departed from my previous company after receiving bonus and paid amount for not fulfilling the notice period and other outstanding payments which they asked for. They didn't  asked for retention bonus then. Unfortunately, despite my departure, the company did not issue me a service certificate. Recently, I reached out to request the service certificate, and in response, they are now asking me to repay a retention bonus mentioned in my appointment letter, which they had paid but did not recover during my relieving.( West Godavari, Andhra Pradesh )","Dear Client,Once the employer accepted your resignation and relieved you with the payment of F & F Settlement of dues, the employer is duty-bound to issue you a service/experience certificate to an ex-employee, For the lapse on their part to realize or recover the retention bonus as per contract of employment which become infructuous and unenforceable on acceptance of resignation and payment of F & F dues in terms of employment and also barred by limitation. So, the employer can neither claim nor force an ex-employee for payment of the same as a matter of right. If any dispute arises, reach out to the office of the concerned Labour Commissioner for redressal of your grievance against the employer/Company","[""Entitlement to retention bonus despite resignation during retention period"", ""Potential unfair labor practices by employer regarding recovery of retention bonus""]","[""fact"", ""fact""]","[""Depends On""]",2,"[""Entitlement to retention bonus as per employment agreement"", ""Resignation before completion of one year affects bonus eligibility""]","[""fact"", ""fact""]","[""Depends On""]",2
"Sir i have joined tsspdcl as engineer on Dec 12 .. i was absconding since Jan 2 as I have exams on Jan 30 and Feb 1 which am preparing since 5 months . I have doubt that whether they would terminate me from job( Hyderabad, Telangana )",Dear ClientYou need to give strict reason so that they can restore yourself there. Wish you all the best!!Hope it helps.,"[""No share of compensation for parents if they have pension and are self-sufficient""]","[""fact""]",[],1,"[""All dues received from the company""]","[""fact""]",[],1
"I was appointed as Product Manager in my current firm (as written and accepted in appointment letter) 
Probation period was of 6 months. 
Now I received a confirmation letter from company wherein my designation and job description is changed without notice. 
Is this legal?( Mumbai, Maharashtra )",First of all congratulations for your achievement. If the designation and description mentioned in the letter is wrong I would suggest you to approach the HR to verify the error. Let your HR know the problem and communicate that your designation and job description is X and it is printed Y. Let the concerned party know that this will harm your future growth prospect but also makes it look untruthful and I am sure they will help you out.,"[""Notice period specified in appointment letter is 60 days"", ""Employer is demanding a 90-day notice period based on at-will employment clause""]","[""fact"", ""fact""]","[""Depends On""]",2,"[""Right to know about job description fairly"", ""Section 2 of the Rights of Persons with Disabilities Act, 2016""]","[""fact"", ""rule""]","[""Complies With""]",2
"from Feb 2023 to Dec 23 leaves taken 45 days, so my HR adjusted SL 5.5 and CL 5.5 days so the balance is minus 34, and after Jan 2024 i availed PL 30days, SL 6 days and CL 6 days, so my hr adjusted the last year balance minus34 from this year PL, SL and CL and i have taken 18 days leave from Jan 24 to May 24...so he is telling your leaves are exhausted so that is why we have deducted salary for 6 days. PLs advise whether it is possible or any chance to get my salary...whether it is possible to adjusting the previous year's leave balance to the current year( Chennai, Tamil Nadu )","Dear client,After reviewing your leave adjustments, it seems that your HR's calculations are accurate. From February 2023 to December 2023, you took 45 days of leave, with 11 days covered by SL and CL, leaving you with a negative balance of 34 days. This deficit was carried over into 2024, where you received 30 days of PL, 6 days of SL, and 6 days of CL, making a total of 42 days. After accounting for the previous year's negative balance, you had 8 days of leave available for 2024. Since you took 18 days of leave from January to May 2024, you exceeded your leave entitlement by 10 days.HR's deduction of salary for 6 of these excess leave days aligns with the negative balance. To address this, you should check your company's leave policy to ensure that the adjustments and carry-forwards are in line with it. Discuss with HR to understand the deductions and verify if there were any errors or flexibility in the policy. If there are any mitigating circumstances or recording mistakes, request an adjustment or waiver of the deduction. However, based on the current information, it appears unlikely that you can reclaim the deducted salary unless there is an exception in the policy or an error in the calculations. Hope our prompt support in this matter would be greatly appreciated.","[""Indian labor laws applicable in Chennai, Tamil Nadu"", ""Policies and benefits should align with local laws of the region where employees are based""]","[""rule"", ""fact""]","[""Depends On""]",2,"[""Deduction of leave balance without proper policy"", ""Negative leave balance for employees due to deduction""]","[""fact"", ""fact""]","[""Depends On""]",2
"I have worked for theresumetask.com . They asked me for my aadhar card . I have given them my details.the condition was to fill 500 resume in 6 days but their server is not good. I was facing lots of issues. I called them many a times in a day. Then I informed them due to your server I can not work. But after 6 days they are asking me to pay 5400 plus gst. They are sending me legal threats by message. I can not find that company on Google. That company is registered in MP. And they people are from Gujarat. Even on true caller their name is fraud. What to do?( Jodhpur, Rajasthan )","Dear Sir,It seems to be a fake company. Such fake companies are many and they want to cheat young people. You may approach the police or just ignore their claims and continue your bright career with some other good company.Rate me Five Star*","[""No share of compensation for parents if they have pension and are self-sufficient""]","[""fact""]",[],1,"[""Filing of FIR at the police station"", ""Section 2 of the Indian Penal Code""]","[""fact"", ""rule""]","[""Complies With""]",2
"I have 2 month notice period but I served 1 month and for another month paid full month salary I don't have reliving letter and mail acceptance so they were not providing my full and final settlement amount what to do now( Bangalore, Karnataka )","Dear Client,If you have completed one month of the two-month notice period and paid the full month's salary, but are facing issues obtaining a relieving letter and acceptance of your resignation through email, it can create complications in receiving your full and final settlement. To address this, you may consider taking the following steps. Firstly, reach out to your HR department or the concerned authority in writing, requesting your relieving letter and acknowledgment of your resignation. Clearly communicate your concerns about the pending full and final settlement and emphasize the importance of these documents for your future employment opportunities. If there is no response or cooperation, consider seeking assistance from a legal professional or labor union to intervene on your behalf. Document all communication attempts for reference. If the issue persists, you may explore legal options such as filing a complaint with the labor department or pursuing legal action for non-compliance with employment terms. Consulting with a labor lawyer will provide you with specific guidance tailored to your situation and jurisdiction, helping you navigate the process to secure your full and final settlement.","[""Entitlement to Full and Final settlement amount after resignation"", ""Delay in Full and Final Settlement after resignation""]","[""fact"", ""fact""]","[""Depends On""]",2,"[""Pending full and final settlement dues"", ""Section 25F of the Industrial Disputes Act, 1947""]","[""fact"", ""rule""]","[""Violates""]",2
"My company is threating me because I uploaded the video in the social media of there cheating with customers
After that my company seen that video. After they threating me I don't know what to do next( Gurgaon, Haryana )","Dear Sir,Yes, you cannot do such things being a sub-ordinate to your Boss. At the most you may resign the job and lodge a complaint against the company bringing out such cheating to light.","[""Defamation case filed by ex-employer due to social media feedback"", ""Section 499 of the Indian Penal Code""]","[""fact"", ""rule""]","[""Violates""]",2,"[""Willingness to file a lawsuit against the company"", ""Labour Commissioner""]","[""fact"", ""rule""]","[""Complies With""]",2
"agar koi apne previous company apko terminate kar chuki hai false alegation ke sath aur wo ab abhi dusre job me kaam kar raha h aur previous company ke leads abhi bhi mere sath bussiness kar rahe h toh meri previous company legal action mail karne ke liye treathened kar rahi h( Kolkata, West Bengal )","Dear Client,The company cannot terminate you arbitrarily. The termination process must comply with the mandates under the Industrial Disputes Act. In this situation, if the company terminates you without any rationale, you can send a legal notice to the company and file a complaint to the State Labor Commissioner against the company for unfair labor practices. Further, if you are a workman under Section 2(s) of the Industrial Dispute Act, then you can file a suit under Section 2A of the said Act before the concerned Labor Court. Otherwise, you can file a civil suit against the company and seek appropriate remedy. If required, you can consult an advocate for advice and assistance in the matter.Hope it helps.Thank you.","[""Breach of Employment Contract due to leaving previous company without notice"", ""Eligibility for gratuity after 12 years of service""]","[""fact"", ""fact""]","[""Depends On""]",2,"[""Section 2A of the Industrial Dispute Act, 1947"", ""Illegal Termination due to lack of notice""]","[""rule"", ""fact""]","[""Violates""]",2
"Hi! I am a student and I interned at a certain startup for 1 month in the month of January for stipend of 12k Rs. After completion of internship the company told me that they will be paying me the amount in some time. They kept extending the date every week.

In March they told me I'd receive it by the end of the month however it didn't happen. Now yesterday the employer told me that "" I cannot pay you the stipend because it's personal "".

He says that I have been bothering his team. The thing is this manager never responded to my mails. So I used to message my mentor in the company to contact him. He says that I shouldn't have contacted them & won't be paying me. In the last 2 months I have only messaged him 5 times with only asking when will I receive the payment & he never responded to the mails so I contacted my mentor to tell him to kindly read my mails. All including only 5 messages to the HR & 5 messages to the mentor. He says that I have been contacting them everyday & bothering them.

I have the offer letter all the chats regarding the work I have done & also the chat of the manager saying I will be receiving the amount shortly.

The manager also called me today & talked to me rudely saying I can do whatever I want but he won't be paying me & also used abusive language. Unfortunately he called me via whats app so I couldn't record it. But I have all the proof of him denying to pay & offer letter.

I did some research & found some legal processes. To send him a legal letter & if he doesn't responds to file a civil suit against the company. That apart I wanted to know what I should really do . Because I a student & cannot spend much time & money for the law suit. Is it a good option to go against him legally? I also fear if the matter escalates & costs me a lot. Can that happen?

Any advice will be helpful. I am from India & I interned for Frontend engineer role remotely & the startup has about 8 employees and it is saas based.( Jaipur, Rajasthan )","Dear Client,It is extremely a sad state of affairs of unpaid employment that takes place. Legally taking any action will cost you a certain amount which you will have to bear, since youâre a student. But, file a complaint with an advocate and send a notice if that prompts the company to do something about the situation. If youâre financially on a crunch, I suggest to not take action legally.","[""Non-payment of salary for the last 2 months"", ""Section 33C(2) of the Industrial Disputes Act, 1947""]","[""fact"", ""rule""]","[""Violates""]",2,"[""Failure of HR to take action on written complaint"", ""Section 9 of the Sexual Harassment of Women at Workplace (Prevention, Prohibition, and Redressal) Act, 2013""]","[""fact"", ""rule""]","[""Violates""]",2
"Currently i was working in a central PSU,have completed 13 years of service,what they will do if i abscond from duty for 6 months,i may join after 6 months in same PSU( Khammam, Telangana )","Dear ClientIf you are working with PSU and suddenly abscond then they will send some showcause notices to your given address and permanent address. If they do not hear back from you then they will put your employment on hold for sometime and may be suspend you, depending on the organization internal rules.Once you are back they will take you back but your seniority will be lost by those period when you were absent.There is a twist here. If you are are absent for any reason which are prohibited by the organization for example, criminal activity, second job etc. then you might be terminated when they come ot know about it.","[""Eligibility for promotion after 4 years of service"", ""Delayed promotion despite meeting eligibility criteria""]","[""fact"", ""fact""]","[""Depends On""]",2,"[""No share of compensation for parents if they have pension and are self-sufficient""]","[""fact""]",[],1
"Hello i was asked to put down my papers by my HR and they agreed to provide me salary for the notice period but now they are unresponsive. Should I continue to follow up on emails or call them ?( Noida, Uttar Pradesh )","Dear ClientYou should follow up on the mail. If they don't respond, you can send them a legal demand notice for the same.Hope it helps","[""Employer provided first aid but did not follow up on treatment"", ""Section 3 of the Employee Compensation Act, 1923""]","[""fact"", ""rule""]","[""Violates""]",2,"[""Employer provided first aid but did not follow up on treatment"", ""Section 3 of the Employee Compensation Act, 1923""]","[""fact"", ""rule""]","[""Violates""]",2
"2. Years ago we applied for job in Canada through agent in Chandigarh, at time they said it will take 2 months, we paid hefty amount but they keep on asking for more and more paperwork and donât show us any progress or even if they have even applied, so we made a ruckus then they showed some portal that showed my UCI AND APPLICATION NO. But we still canât believe, this January they asked for passport to get visa but still no reply, we keep on asking for tracking no. But they donât provide anything. What can we do legally( Hoshiarpur, Punjab )","Dear Sir,Better to lodge complaint with Police as such agent wanted to enrich at your cost and fooling you.","[""No share of compensation for parents if they have pension and are self-sufficient""]","[""fact""]",[],1,"[""Termination of employment due to filing a complaint with the labor commissioner"", ""Section 2 of the Industrial Disputes Act, 1947""]","[""fact"", ""rule""]","[""Violates""]",2
"Chartered Accountant Partnership Firm runs with 85 employees as on date. The Firm is registered under EPFO. However, only 10 staff members are covered under EPFO and remaining 75 staff members are not provided the PF facility. I wish to know, whether such establishment can extend PF benefit only to its selected employees? Is it not mandatory to the establishment to extend PF benefit to all its employees once the threshold limit of 20 is exceeded?( Chennai, Tamil Nadu )","Dear Sir,PF benefit to be extended all the stock members who are on the rolls. You may lodge complaint with concerned authorities and also go to the High Court etc. However, it may result into your termination also. Please take wise decision.","[""Indian labor laws applicable in Chennai, Tamil Nadu"", ""Policies and benefits should align with local laws of the region where employees are based""]","[""rule"", ""fact""]","[""Depends On""]",2,"[""High Court"", ""Not following reservation roster rules in preparing trade helper result""]","[""rule"", ""fact""]","[""Complies With""]",2
"I resigned my job and didn't serve notice period as there was nothing mentioned regarding to that in the appointment letter. Also there was no bond.
But hr is asking to serve 1 month notice period or pay a month's salary( Bangalore, Karnataka )","Dear Sir,When there are no conditions in the offer letter you are not forced to serve for one month. As there is no bond they cannot claim any amount from you.","[""Obligation to serve notice period or pay in lieu of notice as per employment agreement"", ""Right to resign during probation period subject to notice period as per appointment letter""]","[""fact"", ""fact""]","[""Depends On""]",2,"[""Husband is entitled to 50% of deceased wife's pension if there are no children."", ""Section 10 of the Payment of Gratuity Act, 1972""]","[""fact"", ""rule""]","[""Complies With""]",2
"Hi, I'm working with a company which has joined me with 6 months probation and 1 month notice period, my health gets degree after 2 months and then my HR call and ask to resign but when I resign over email, company didn't accept my resignation and ask to serve notice period. Pls let me know 1. what is law applicable if employee is not in position to serve notice period due to health related issues, 2. Is it possible to avoid serving notice period is you are under probation period.( East Delhi, Delhi )","Dear Client,As you are in probation period and company is having its internal policy in this regard and which is applicable to the employees, who are in probation period, then you have to serve the notice period. And secondly No Employer can force an Employee to complete the Notice period, it is for the employee to complete the Notice period in order to take his full salary and the relieving letter. You can tell them about your problem for not serving the notice period.Hope, it is helpful","[""Inability to serve notice period due to health issues and personal circumstances"", ""Section 2 of the Indian Contract Act, 1872""]","[""fact"", ""rule""]","[""Violates""]",2,"[""Potential financial penalty for not serving the full notice period"", ""Desire to serve a reduced notice period of 15 days instead of the agreed 30 days""]","[""fact"", ""fact""]","[""Depends On""]",2
"Hi, I'm working as an IT employee, My father works in a private company where annual income is below 6 lakhs, and my mother works as govt primary school teacher, Am I eligible to get nc-obc certificate?( Bellary, Karnataka )","Hi,In order to qualify as an OBC non-creamy layer candidate, the applicantâs parentsâ annual income should be less than Rs. 8 lakhs. If your parents are not directly recruited Class1 (Group A) or Class2 (GroupB) officers OR they do not occupy any constitutional posts (like that of President, Vice President, Governor etc) you are most likely to fall under Non-Creamy Layer OBC. If your parents are not employed by the government, their income should be within the limits by the government to be treated as Non-Creamy Layer OBC.Please rate my answerThank You","[""Eligibility for OBC NCL certificate requires family income below 8 lakhs per annum"", ""Eligibility criteria for OBC NCL certificate based on family income""]","[""fact"", ""rule""]","[""Violates""]",2,"[""Parental income must be less than Rs. 8 lakhs to qualify as Non-Creamy Layer"", ""Eligibility criteria for OBC NCL certificate requires parental income below specified threshold""]","[""fact"", ""rule""]","[""Complies With""]",2
"I was selected for a government job in 2016 through an examination. In March 2017, the result was declared invalid after a departmental investigation. Now, I got the job in 2019 after it was proved in CAT that cancellation of the result was arbitrary by the department. Now, can I demand for compensation in the court, as the department ruined almost 3 years of service life?( Kolkata, West Bengal )","Yes, you can demand.","[""Section 4 of the West Bengal Pension Rules"", ""Eligibility for family pension upon the death of the pensioner""]","[""rule"", ""fact""]","[""Complies With""]",2,"[""Demand for notice pay after resignation"", ""Section 73 of the Indian Contract Act, 1872""]","[""fact"", ""rule""]","[""Violates""]",2
"Is a contract for work from home which is not physically signed, valid.( Ahmedabad, Gujarat )",à¤à¤¸à¤¾ à¤à¥à¤ à¤¸à¤®à¤à¥à¤¤à¤¾ à¤¬à¤¾à¤§à¥à¤¯à¤à¤¾à¤°à¥ à¤¨à¤¹à¥à¤ à¤¹à¥à¤¤à¤¾à¥¤,"[""Request for work from home due to medical conditions"", ""Potential termination due to medical health issues""]","[""fact"", ""fact""]","[""Depends On""]",2,"[""Entitlement to salary despite not serving notice period due to mental torture""]","[""fact""]",[],1
"What is absconding law in India ?
Can my company abscond me if I'm not present at office for 2 days ?( Mumbai, Maharashtra )","The company has its own set of rules on absconding. Ensure that you follow to avoid any such issues. 2 days will be too short to treat absconding. Furthermore, notice needs to serve on you before they treat you absconding.","[""Denial of salary for days worked"", ""Section 10 of the Payment of Wages Act, 1936""]","[""fact"", ""rule""]","[""Violates""]",2,"[""Company has trust issues leading to resignation""]","[""fact""]",[],1
"My company is forcing me to resign as part of their retrenchment process, I have tried my best to convince them to retain me. They are giving me 3 months of fixed pay, medical benefits till March 31, 2024, and 15 15-day salary for every year of service according to retrenchment law. I am unsure if they notified the labour commissioner or related government departments. My HR is secretly conducting retrenchment without any formal email or notification, Please advise.( Thane, Maharashtra )","Dear Client,Usually in the Big Corporate Sector, the Company instead of retrenchment an employee holding a Director/Executive rank position insists on or forces him for submission of resignation for proven professional misconduct following Co's policy and considering the future career and social status of an employee because retrenchment puts a stigma on the career of an employee service record which may put on hold of the employee's further engagement. The Company also offers few lucrative benefits to outgoing employees if they tender their resignation and accept the offer of the Company. Since your position in the Company does not come under the purview of the Industrial Dispute Act, 1947, if you do not accept the Co's proposal for resignation then they may retrench or dismiss you from service holding a domestic inquiry against your professional misconduct or breach of any terms of employment. In that case, based on your confidence,  you have to access justice against the arbitrary and unjustified retrenchment/dismissal from service through a Civil Suit before a Civil Court. So, now the matter exclusively depends upon you.","[""Labour Commissioner"", ""Non-payment of salary for 4 months""]","[""rule"", ""fact""]","[""Complies With""]",2,"[""Section 2(s) of the Industrial Dispute Act, 1947"", ""Illegal Termination due to lack of domestic inquiry""]","[""rule"", ""fact""]","[""Violates""]",2
