question,answer
"I am 31 year old unmarried girl.father is alive.My real mother harasses me.Takes control over whole father's salary.Refuses to give for my needs.spends on herself and gives to brother.tell lies about me to others.creates fights unnecessarily against me before relatives and others.She don't want and let me to marry.wants to prove that i am mad.my health get poorer.i can't study properly.dont have money.i have much more to tell about my situation.please suggest.( Lucknow, Uttar Pradesh )",File a DV case u/s 12 of the PWDV Act.
"How to take my son back from her( Coimbatore, Tamil Nadu )",You will need to file restitution of conjugal right  for it
"I am married for 25 years having 3 kids.  But having constant torture and harrasment mentally from husbanud. So now want to get divorce and get settlement amount from husband and attachement on properties . this is for my self purpose and for kids future purpose. I am a housewife so i have nothing as money with me

want to know a few things :
what are papers i should be having with me like property papers, bank stmts?
What are proofs court will ask?
Kids are also from my side so they can speak in court ; one daugther is married and two kids education going on.( Pune, Maharashtra )","Hi,File for divorce on the grounds of cruelty under section 498A IPC. You can file a petition for interim maintenance under Section 125 CrPC to support yourself until the final award is decreed. We can help represent your case. Take whatever proof you have of his abuse to use as evidence in Court. Your children can serve as witnesses and testify on your behalf.If you found this helpful, please rate us."
"my mother has died 18 year before ,my grandfather ( mother's father is alive which is about 80 year old ) my  grandfather has the ancestral property i.e., farm land about 50 to 55 acres land ! But they have not entitled share my mother right over property , because my mother is not alive! my mother has two brothers ,and two son's, i e.,me and my brother ,I am 22 years old and my brother 21 years old, according to the new 2 February 2018 hundu succession general law daughter has equal right over his father property whether (living or dead ) means  (grandson )we can use my mother right over ancestral property of my grandfather or not? Please advice( Nanded, Maharashtra )",Yes sir u can file partition suit. And solve it peacefully
"My mother mother & father expired. My younger sister is nominee everywhere in mother's FD & Insurance . I have Court Legal Heirship made after fathers death in which Mother, Me & My Younger Sister are legal heirs. Now after mother's death if I want recover part of my rights (money /fix asset ) from younger sister, old legal heirship certificate is ok to case the file &  to recover it. Please help me by legal guidance.( Pune, Maharashtra )",Nominee has only to receive property/money but nominee is bound to distribute the received property/money among other legal heir. You can claim your share by filing suit for recovery.
"My girlfriend got engaged unwillingly to someone else, because of her parents threat to commit suicide if she doesn't. now she is suppose to get married in coming month. She is afraid to elope with me. she fears of her parents filing any complaint or may perhaps commit suicide because of their daughter marrying her boyfriend and not to the ""chosen guy"" by their choice. (we both are 25+)( Ahmedabad, Gujarat )","Dear Sir,Since because you have crossed marriageable age as such you can get marry anywhere. Better approach the police and narrate your story and get sympathy and then they may extend sympathy and protect you both.Rate me Five Star*"
"My wife is not responding to court RCR notice and not attending the court hearings 

what would be the possible decision court may give and what precautionary steps I should take care( Bangalore, Karnataka )",Then u can file divorce petition . You will get ex party divorce if ur wife not respond
"My mother in law is spreading rumors about me having affair with someone she is making my life miserable and living hopeless to be self respect in society. Can you say is there any law to protect myself.( East Godavari, Andhra Pradesh )","Dear Client,You can proceed to take action under false accusations/ allegation, defamation. Thank you."
"I recently got engaged to a guy and after two months the family started dowry harassment, religion change, and boy job is not permanent so we called off the wedding. Now the boy family wrongfully filed a complaint against us on sections 448 and 506. I am planning to go abroad for higher studied will this affect my visa process. We also filed a complaint against them on dowry harrasment and cheating( Vellore, Tamil Nadu )","Hi,Since you have already applied for higher education abroad then you may not be able to leave the country without getting a clean police clearance certificate. You can file a quash petition under S.482 of CrPC before the High Court or for a fast track resolution of the matter you may consider mediation.If you find my answer helpful then kindly rate me."
"Karta has expired survived by wife, 2 sons , daughter and minor grandson. Does grandson have rights in huf property( Hyderabad, Telangana )","In my humble suggestion, grandson and their father each own an equal portion of the property. Thus, the grandson will have a right in the property."
"My 38 yr old married daughter only after a month of marriage left her husband and came back at my home. She is violent and abusive. I don't want to live with her. What are the options I have.( North West Delhi, Delhi )","Dear Sir,If you are living in a rented house then come out of the said house and stay away from her. If your living in a own house then ask her to vacate otherwise file a suit for eviction. If she is also entitled for a share in the said house then file a suit for partition."
"Myself and my brother stay together at one place. Our parents are no more with us and by brother is completely non cooperative. He is a violent and a drunkard person. He does not have any family and is divorced due to his bad nature and behaviour. He does not have any job for the last 5 years and is jobless. He is completely dependent on me for all his basic necessities. Due to his fighting and disruptive nature me and my family no longer want to stay with him. We have talked to him many times to get separated amicably and agree to provide his share on the property but he has always rejected this proposal. He forcibly wants to stay with us and we are fed up of his behaviour. Please advice what can be done in this case as we canât tolerate such a person in our house anymore and he canât force us to stay together. Kindly provide a solution to this problem.( South West Delhi, Delhi )","Hi,You can send him the legal notice for this, however, for the share you can file a partition suit.If you find this answer helpful, please rate us."
"Our cousin uncles son abusing and harnessed to my mother. And Captured our small portion of land, my mother also widow.
our father expired and i am leaving in Delhi and my mother leaving in village.( Saharanpur, Uttar Pradesh )",File complaint against him.Send legal notice to him for return the possession of property and file suit.
"my father had two wives. first wife 5 childrens and second wife 3 childrens. father has died 10 yearars back and second wife died two years back. first wife died 6 months back. My father has not made any will. Please advise how to share the property, eqully among all. Please advise who will be the right persons for claiming first wife share. whether her share willl be distributed only first wife children and also to second wife children.( Kurnool, Andhra Pradesh )","Dear ClientIn the absence of a will, the property of your father will be distributed among his legal heirs as per the laws of inheritance applicable to him. Since your father had two wives and 8 children, the property will be divided equally among all the legal heirs.According to the Hindu Succession Act, the property of a person dying intestate (without making a will) will be distributed among his legal heirs in the following manner:First, among Class I heirs, which include the widow, children and mother of the deceased.Second, if there are no Class I heirs, then among Class II heirs, which include the father, brother, sister, and other relatives.In your case, as your father had two wives, the property will be divided equally among all his legal heirs, including the children of both his wives. Therefore, the children of the first wife are entitled to a share in the property along with the children of the second wife.However, please note that the exact share of each legal heir will depend on the number of legal heirs and their respective claims. It is advisable to consult a local lawyer who specializes in inheritance laws to help you with the process of dividing the property among the legal heirs.Thank You"
"Sir main thak gya hu family ke taane wagera se me 30 ka hu job nhi mil rhi filhaal ek mili thi but meri back ke problem ke chalte mene woh job chor di thi meri pita ne kal kaha ki woh umar me bade ho bhi gye to khaali nahi bethenge aur faltu ke dakke nhi khaa rhe .ye baat unhone mujhe indirect boli aur me ye ab se nhi kai saalo se sunta aa rha hu.mtlb kuch naa kro to baat sunna bnta hai but krte huye bhi sunna woh bhi baar baar me thak gya.mene pichle mahine ghar chor ke jaa rha tha kyunki mere pita ne bola tha ki ghar nikal jaa mera samaan leke mat jaiyo to mene apna samaan pack kiya aur me jaa rha tha bina pita ke samaan ke bs apne govt id leke jaa rha tha to achanak se papa aa gye kaha ki chor ke jaa rha hai mujhe akela to rok liya emotional krke but fir kuch din baad wahi rawaiya me thak gya hu naa mujhe shaadi krni hai naa gharwaalo ke saath rehna hai naa mujhe hissa chaiye me sirf shaanti chahta hu me sadak pr reh sakta hu lekin roj roj ke baate nhi sun sakta. mere pass consult ke liye paise nhi ki kisi lawyer ko hire kr sakkun aur mujhe apni family pr vishwas nhi hai kyunki woh mere saamne kaano me baate krte hai .me jis biradari se belong krta hu woh black magic wagara krte hai to mujhe is baat ka dar hai  ki woh mujhe kaabu me naa krde aur apne hisab se chaalaye aur me nhi chahta ye sab me bs ajaadi chahta hu.aaj mene apni mummy ko btaya ki papa ne aisa bola tha kal to kyu nhi boli mummy ne bola bp hai mere dimag naa khrab kr fir mene bola jije ko ye kyu bola ki naya ghar le lenge to ye nikal jaayega mene kaha me to fir bhi jaunga kyunki me ni reh sakta saath to mummy ne bolo jaa me kehti hu jindagi bhar tu dukhi aur kamyab nhi hoga me yehi sab chijio se thak gya hu.
naa mujhe hissa chaiye naa mujhe saath rehna hai kyunki ye apni baat se har baar palat jaate hai aur me nhi chahta rehna kyunki hamari biradari me log ladte nhi hai naa kuch kehte hai kaam jaadu tone se krte hai aur mere dusre jija jo hai unke daddy bhagtaai krte hai joki unka kaam hai me unke kaam ko nhi kahu kaam kaam hota hai but me ye kahunga ki mummy unki ya apni beheno ki madad se mujhe jaadu se kaabu naa kre .bs me khud ko chahta hu.mere pass paisa hota to consult kaa call krta mere pass mobile recharge ke bhi paise nhi rehte .ye ghar ka laptop hai jise mene swaal pucha hai .( Central Delhi, Delhi )","Dear client,We would advise you to reconcile with your family. Talk it out with your parents and clear the air. We would also suggest you to find a job and make yourself self-sufficient"
"I came to my  home as there is issues in my in law place. My husband is abroad. All my clothes and jewels are in my in law  home. They aren't allowing me to take my things. What should I do( Cuddalore, Tamil Nadu )",Feel free to contact me
"We can cancel after adoption( Coimbatore, Tamil Nadu )","Dear Client,According to Section 15 of the Hindu Adoptions and Maintenance Act, 1956, no valid adoption can be cancelled by the adoptive father, mother, or any other person, nor can the adopted child renounce his or her status as such and return to the family where he or she was born. So, a valid adoption cannot be cancelled."
"Abusive elder sister aged 40 year old causing mental harassments and troubling my old widowed mother of 72 years old and now laying claim to my personal owned purchased property. I have left my own home yesterday night on account of false drama and ruckus created by her in society, in front of outsiders.( Vadodara, Gujarat )",Dear ClientIf your sister is having OCD issues and her behaviour is too aggressive towards the family which can harm somebody then you should get her checked up through some psychologist and if required take some legal steps to put her in asylum depending on the outcome.
"Can i have a separation from Sibling on a legal ground?( Mumbai City, Maharashtra )","Dear Client,There is no procedure for disowning family members or siblings.  You don't have any legal obligations to siblings For legal denouncing of connection or relation with siblings., you can get an affidavit prepared, get it notarized or get it registered in some cases(where monetary issues are involved). And once the document is notarised you can notify in two leading papers about complete details of your brother, his age, work your parent's name, address etc. that you have nothing to do with him and you denounce all the relations with him. Keep the documents with you and this will save you from most of the issues in families."
"My wife was taken Money before she filled get separated and then she filled a Divorce case against me,how can I get my all Money and ornament legally before final Divorce( Pune, Maharashtra )","Hi,She can claim a fair share of your assets, this can be determined over the course of your settlement negotiation. You can claim the property for yourself if you prove in Court that she has already received more than an adequate settlement.If you found this helpful, please rate us."
"I have issues staying with my mother in law .. she doesn't stay with her husband. Instead she has shifted to stay with us forever. Can I demand this ? Is this legal ??( Lucknow, Uttar Pradesh )","Dear Client,Your mother-in-law is the mother of your husband and has every right to stay with her son with dignity. So, your unethical and unjustified demand shall not be entertained by the Court in the absence of any proven incident of domestic violence."
"I got married 4 months back. Since then, i am preganant too. My husband is saying that he wants to leave me. He said he is going to another city and will never come back. He said that he doesn't consider me as his wife. He is talking to some other girl too and promising her to marry her. He tood me to take any action against him as i wish but he doesn't want to stay as my husband. What can be done now?( Bhopal, Madhya Pradesh )","Dear Madam,You may file Domestic Violence case seeking following reliefs..===========================================================================PRAYERHENCE THE APPLICANT HUMBLY PRAYS1. to take cognizance for the offence punishable u/s 498A IPC and punish Respondent1 to 3 as per law and extend police protection to the deponent,2. Pass orders u/s 19, based upon S.17, granting separate residence for herself and her three children at a monthly rent of Rs. 20,000/- and advance of Rs. 5,00,000/-.3. Pass orders u/s 18, in totality against Respondent1 to 3,4. Pass orders u/s 20(i) granting Rs.25,000/- per month as maintenance for applicant and maintenance at the rate of Rs. 5,000/- each per month to her three children.5. Pass orders granting Rs. 5,00,000/- for setting up house hold requirements, in granted residence, to make it livable, as the applicant cannot return to the house of Respondent1 as he is residing in the house of respondent No. 3, which is legally prohibited,6. Pass orders granting litigation expenses of Rs.1,00,000/- as the applicant made to wander from pillar to post for getting legal aid to attend the Honâble Court, whereas, the Respondent1 falsely filed Divorce Petition.7. The applicant also filed interim application supported by affidavit u/s 23(1) and (2) of D.V.Act,8. That any other order/s, this Honâble Court deems fit, to meet the ends of justice, be passed.Please have PAID phone call with me through VIDHIKARYA and get more guidance."
"The opposite party filed some xerox copies through list of documents in family court. Can I get the certified copy. If no what is the way to get it. I was allowed to take the Xerox copy what it I myself take the documents and validated through notry to make it true copy that these xerox were filed by the opposite party and ask opposite party to validate by filing a rejoinder. Now can I get the the certified copy now? Or any other way( Dhanbad, Jharkhand )","Dear Client,To get the xerox copies certified in your family court case filed by the opposite party, you can make and application to the concerned court where the case is registered mentioning the documents you require along with the court fee. Even if you cannot obtain direct certification of the xerox document, one can request a certified copy of any filed document from the court. Registering your true copies and getting them validated through a notary may not get it, at times, the court requires certified documents. Hence, it is better to complete a formal application for the issuance of certified copies of the desired documents, putting down your purpose and situation. Section 96 of the Code of Civil Procedure, 1908 will control the procedure to obtain certified copies and some special family court rules will also be there.Hope you find this advice beneficial."
"Hi,
      I am Ravi from Andhrapradesh. I married a girl from Karnataka. But after our marriage her parents taken my wife back to their place. So I filed habeas corpus writ and Andhrapradedh high court taken only her 164 Cr.p.c statement, later the case disposed. We requested the judge to produce her in front of court, but they disposed. Now, my question is i really know she is illegally detained and a part of cause of action comes under Kartanaka high court jurisdiction also. So, now I am thinking to file habeas corpus writ in karnataka high court since there is a possibility of her physical production is there. Can i approach Karnataka high court or not?( Yadagiri, Karnataka )","Hi,No, a same writ petition cannot be filed in the same High Court.Thank YouIf you found this helpful, do rate us."
"Mental Health and Family Mattters( Mumbai, Maharashtra )",Please ask your question.
"Sir I'm working for Indian Railways, on aug 16,2018 I'm married (second), on March 3 2018 she gone for delivery to her mother's house,On April 29,2019 she delivered a baby boy, after a month I told her come to Hyderabad, here village no medical facilities so pls come with me, but she denied and her mother giving me false Eligations on me that I'm tortured and demanding money. But my wife also telling same thing.  But past 8months we r lived very happily.  I went to her village police station and gaved a complaint but the police persons saying that she is telling that u r tortured and asking money and etc.. So kindly help me how can I approche to court.( Hyderabad, Telangana )",File a Suit For RCR [Restitution of Conjugal Rights] u/s 9 of the Hindu Marriage Act.Thanks
"Hi, I am from Pune. I work in private company. My wife works in diagnosis center. Earlier I had doubt on my wife that she has extra marital affair. As she never think about me. Never gave respect to me. Not ready to live my parents as well, I sent my parents to my hometown. Still there are no changes. But that time I didn't have any single evidence. One day she logged in her WhatsApp in my laptop and forgot to logout. From that day I started reading her chat with manager. They discussed about se* that they have recently. I have all screenshots. And some laptop screen recordings too. I think I need more stronger evidence to prove adultery. I'm thinking to discuss with my wife and show this screenshots as well. I'm sure she will accept and start begging for apology. And I will record our conversation. Even I can talk to his manager too. I know him personally. My question is can I produce these screenshots and her recordings of confession to prove adultery? What are the chances to get decree of divorce in my favor?( Pune, Maharashtra )","Hi,You can apply for divorce decree by proving the court regarding adultery committed by your wife. You need to keep the recordings and the chats saved in some device as proofs. She won't get any alimony or maintenance after adulterous relationship. You can also go for mutual consent divorce decree if you don't want to waste your time and energy in court proceeding while proving your point and allegation if made by your wife.If you find this helpful, please rate my answer. You can further reach out to me for a detailed discussion. Thank you."
"We filed 498a case on husband.it's chargesheeted.
He is evading summons purposely.The court constable called me and informed he is not answering mobile calls and is not staying at the address we gave in fir.He is evading summons from year 2021.In this case suggest me ways to serve summons legally at the earliest.

Also I need to recover dowry amount.we don't have cheque transactions or photo graphs as proof.
We gave it in the presence of neighbour and relatives 

In this case is this evidence sufficient to recover dowry in court.plz suggest me( Bangalore, Karnataka )","Dear client,  one cannot claim reliefs of return of Istridhan/dowry/articles of personal use in the divorce proceedings. For recovering of Istridhan from your husband and in laws, you need to file a complaint with the Women Cell which will ultimately culminate into an FIR under Section 498A/406/34 of the Indian Penal Code,1860"
"Hi sir, 
I got married on Dec 2022, from the first day my MIL and FIL are torturing me by their words and slowly even my husband also changed and torturing me continuously. And from April 2023 we are living separately. From that day and till now me and my family are trying to patchup but continously my hus family is tortuing me and my parents with their toxic behaviour and ordering us to say sorry and to bend infront of them and to touch their feet not only to my hus parents, they are demanding to do this to their relatives also. Once limit crossed i gave those return back to them and for this also they are point for every single mistake and scolding and asking fr sorry and to touch their feet all the time.. and continously my hus is asking for separation and telling to get out of his home. So for this issue, how can i proceed ?( Bangalore, Karnataka )","Dear client,You can lodge a police complaint at the local police station. You can file a case againt your husband and husband's family for torturing you. Section 498A of IPC and section 12 of Domestic Violence Act can be used to support your claim."
"Iâm 22 yrs old studying medicine .. Iâm continuously being abused by my parents in one or other point !! They are behaving ruthlessly every time ! They wish I have a job but yet Iâm studying how can I opt for job ? They need money from me ! Whenever any topic comes they raise money matters and abuse me that Iâm dependent on them! Iâm depressed and I need help !!( Visakhapatnam, Andhra Pradesh )","Dear client,You can lodge FIR with local PS, most of the states have facility of filing online FIR also. If you are a woman, there are many phone helpline numbers for Domestic violence help. If you are hesitant to file complaint against your parent, Domestic violence cases can also be resolved outside courts with the help of NGOs, police via mediation.Alternatively, you can file legal suit for domestic abuse and violence against your parents, and can file maintenance under section 125 of CrPC"
"Can i take things like my clothes, books, gadgets and things gifted to me if i leave my parents house?( Indore, Madhya Pradesh )","Dear Client,When you decide to leave your parentâs house you are legally permitted to take all your property that you have accumulated such as your clothes, books, gadgets and any other items that you have been given by other people. According to the Indian Majority Act 1875, every person attains majority at the age of eighteen years to do civil right to manage his own affairs and own property. If your parents do not allow you to take your belongings with you, you need to explain your actions to the parents and if needed serve a legal notice to the parents to return the belongings. You can also approach the nearby police to help you resolve the dispute and protect your rights. Of course, parents may evict the adult children from the home, but this does not impact the childhood right to personal belongings. If you experience a lot of conflict or harassment, speaking to a lawyer may assist you in managing the situation appropriately and legally.Hope you find this answer beneficial for resolving the dispute."
"Hello
I have been married for 2 and half years and have a one and half year baby girl. My mil gets involved too much on our relationship. My husband stays for 6 months abroad and he doesn't know how she behaves when he is not around. She behaves like a very good mil when someone is around but doesn't care for my baby when no one is around. When my husband is at work, me and mil stay alone with baby. The house is a mess. There are lot of cockroaches in the house bcoz my mil keeps garbage and crap at home without throwing. She won't clean or let me clean anything. She is a control freak..she keeps all old and spoiled things even if it creating mess on the house. I adjusted for this but cannot anymore for my baby safety. She says mean things but when I share it with my husband, he doesn't believe it. But he speaks to her about my concern.. and my mil lies to his face that she didn't say anything like that creates fight between me and my husband. She says I'm using his money for luxury but in real case, I don't. Even if I order some food for me or toys for daughter, she have problem. She says I'm using more gas, groceries even power bill is more bcoz of me and what not.. I have put up with this but not anymore. My husband doesn't understand though he is a good person, he believes his mother blindly. I have suicidal thoughts. When I share this with my husband, he simply says I'm overthinking or blackmailing. He is the only son, so we cannot go seperate. He doesn't like when I share these things with anyone. But if he listens and understand me, why would I go to someone else. He will stop talking for days weeks when I share any concern. Then I have to ask his friend about him..how is he etc etc. again he gets angry bcoz I'm sharing things with his frnd. I get angry when my husband just stop talking and avoid me for weeks. I said some mean things and he said some mean things, when we try to solve this by over selves, my mil says some lie that I tried to hit or abuse her which create fight between us. I don't want to get divorce but his behaviour is causing me to think it is not safe to stay in this relationship. But I won't go for divorce for my daughter's sake. What should I do( Visakhapatnam, Andhra Pradesh )","Dear Client,Your situation appears to be quite complex to address suitably. While you are concerned for your safety at the matrimonial house, you are reluctant to opt for a divorce/DV case despite a bitter and broken relationship between you and your husband. Until you choose or decide an option on your own that protects your best interest and well-being in the prevailing situation, a professional may not be able to guide you properly. Let you decide your option first and revert to enable us to provide you with the legal remedies that protect your best interest and well-being."
"I have a love relationship about 12 years with my girlfriend. We are very happy with our relationship. Recently i am traveling with my 2 office friend(1boy and 1 girl) .. And i don't want to go there that time. They had give me all my bill and my expenses. We are drunk that night and i never force to drink anyone . Just because i'm drunk she and me are getting physical that night.. Now she refuse to take pile and blackmail me every day.. I never told her that i have feeling with her.. Now she wants me to love.. I'm mentally depressed now.. And she has some old record that she was try to blackmail some other boys using this same technique. How can i overcome with this situation? And is there any low to file an FIR against her to disturbing me?( Guwahati, Assam )","Dear Client,You can file an FIR against the girl but Iâd suggest you to contact an advocate who can gove you the right solution."
